stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.61,0,0,0,10.85,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.15,0,0,0,8,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,112.23,0,0,0,57.45,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.96,7.37,3.21,0,4.08,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,0,2.77,83.43,0,0,0,0,0,0,0,2.15,4.39,1.75,48.8,0,0,0,0,0
 24-34,0,0,0,0.83,0,0,58.63,0,0,0,58.67,0,0,0,0,0,0,0,1.34,0,6.6,0,0,2.52,199.5,0,2.27,0.95,0,0,0,0,0,0,0,59.99,0,0,0,0,0
 36-46,0,0,0.96,0.87,0,0,1348.61,0,0,0,441.84,0.95,0,0,0,0,0,0,0,0,3.3,0,0,2.58,282.57,0,16.89,0,0,0,3.3,0.74,0,0,0,72.96,0,0,0,0,0
 48-58,0,0,0,5.01,3.16,0,4614.96,0,4.46,0,1339.57,0,0,0,0.8,0,5.08,0,0.39,0,28.13,0,0,15.63,740.52,0.96,13.29,0.4,0,0.56,4.21,0,0,0.38,0,261.05,0,0,5.26,0,6.49
 60-70,0,0,0,20.53,0.64,0,10280.18,0,1.89,0,3903.38,0,0,0,8.11,1.02,12.65,1.52,0,0,27.09,0,0,3.69,686.33,1.57,15.27,12.96,0,0.66,0,0,0,0.67,0,227.87,0,3.56,1.46,0,20.12
 72-82,0,0,0,25.24,0.51,0,8333.4,1.11,1.5,0,4721.25,1.41,0,0,3.55,0,0,0,0,0,50.3,8.82,5.6,2.3,955.8,0,17.24,3.63,0,1.77,1.84,0,0,0,0,102.69,2.61,7.16,6.57,6.45,6.72
 84-94,0,0,0,36.99,2.65,0,4693.53,0,1.72,1.1,2873.82,1.01,0,1.7,0.8,0,4.18,0,4.25,0,49.36,0,3.5,8.09,662.53,1.31,6.3,0,0,0,1.67,0,0,1.76,0,99.54,3.28,0,2.2,12.72,0
 96-106,0,1.68,0,31.52,1.54,2.46,4127.7,1.75,0.58,3.83,3505.24,0.96,0,4.05,3.8,0,4.57,1.68,5.47,0,49.65,0,3.47,0,804.09,0,17.92,1.3,0,1.67,3.1,0,0,1.05,0,29.64,0,4.68,1.49,0.59,0
108-118,0,0,0,36.81,3.82,0,2966.64,0,0,6.29,3126.43,2.49,0,1.03,1.71,2.64,0.64,0.98,18.16,6.58,36.07,0,1.99,0,873.01,0.46,4.33,3.56,0,0,1.83,0,0,0,0,21.37,1.42,0,0.99,0.49,0
120,0,0,0,20.9,0,13,2089.48,0,15.04,0,4051.02,0,0,0,2.02,0,0,0,0,0,54.59,2.21,2.76,2.81,867.83,3.77,1.26,0,0,0,1.36,0,0,12.14,0,46.47,0,0,0,17.64,0
