stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,3.29,0,0,0,0,0,0,0,0,9.23,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.88,0,0,0,0,0,12.02,0,0,0,0,0
 14-21,0,1.07,0,1.9,0,0,0,0,0,0,0,1.66,0,0,0,0,3.17,0,1.2,10.16,0,0,0,0,2.19,0,2.66,17.67,0,0,0
 24-34,0,1.63,0,1.46,0,0.72,0,0.86,0,0,0,1,0,0,0,0,1.62,0,0,223.86,0,0.8,0.72,0,0,0,0,128.41,0,2.66,0
 36-46,0,1.4,0,0,0,0.68,1.39,0.82,1.98,0,0,2.59,0,0,0,2.72,1.26,0,0.95,541.9,0,3.7,1.62,0,0,0,0,140.23,0,2.41,0
 48-58,0,0,0,0.43,0,21.78,0,0,1.19,0,0,0.6,0,7.73,0,0,7.51,0,0.51,1243.53,2.65,1.94,1.91,0,0,0,0,171.55,0,4.57,0
 60-70,0,1.49,0,5.47,0,57.09,3.05,0,9.77,3.53,0,10.01,0,0,0,0,23.77,0,0,2350.56,0,2.15,7.89,0,0,0,0,188.77,0,2.72,0
 72-82,0,0,0,10.93,0,143.2,0,0.94,26.47,0,0,5.68,0,0,0,0,17.84,1.43,0.63,2294.77,0,3,2.6,0,0,0,0,209.94,0.57,0,0
 84-94,0,0,0,4.1,0,106.37,0,0,16.95,0,0,0,0,2.91,0,0,13.28,2.23,1,1589.43,0,11.68,2.22,2.57,0,0,0,103.85,0,2.22,1.36
 96-106,0,3.3,0,9.07,6.44,103.47,0,0,19.24,1.19,0,0,2.65,0,10.33,0.65,3.42,0,1.59,1367.22,0,3.99,1.16,1.13,0,0,0,66.08,0.8,0,0
108-118,0,0.41,0.61,3.92,0,94.76,0,0,12.9,0,0,2.16,0.64,0.74,0,0,10.05,0,0,1294.7,0,6.91,0,2.46,0,0,0,82.43,4.32,1.56,0
120,0,0,0,0,4,128.42,0,0,47.13,0,0,0,0,0,0,0,42.24,11,0,2729.56,0,0,7.34,1.1,0,0,0,60.6,0,3.92,0
