stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,75.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,69.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.33,0,0,0,0,0,0,0,0,5.51,0,0,0,6.4,0,0,0,0,0,0,0
 10-12,3.84,10.12,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.09,0,0,0,11.26,0,0,0,0,0,7.98,0
 14-21,0,0,1.87,0.86,0,0,0,0,82.03,0,0,0,0,0.95,0,0,1.22,0,2.47,84.09,2.47,0,0,1.83,0,1.68,0,1.92,3.66,390.91,2.06
 24-34,0,0,0.66,0,6.69,0,0,0,178.77,0,0,0.89,0.8,0,0.66,4.02,1.27,0,0.67,521.74,0,2.29,0,0,0,0,0,0,0.62,752.75,10.19
 36-46,0,0,0,0,2.27,0,0,0,106.65,0,0,0,0,0,0,0,2.71,0,0,429.49,0,0,0,0,5.3,0,1.75,5.58,0,786.41,0
 48-58,0,0,6.06,1.7,20.53,0,0.41,0,183.57,0,0,0,0,0,0,0,1.87,0.49,3.34,256.07,0,0,0,0,0.57,0,0,0,0,691.81,0
 60-70,0,0,0,0,6.16,0,0,8.36,319.04,0,0,0,0.99,0,0,0,5.39,0,0,78.02,0,0,0,0,3.24,0,0,0,0,309.56,1.04
 72-82,0,0,2.11,0,37.57,0,0,0,539.36,0,0,0,10.2,0,0,0,3.09,1.8,0,127.67,0,0,5.15,0,0,0,0.71,0,0,174.67,0
 84-94,0,0,0.67,0.66,22.61,0,0,0,350.28,0,0,0,4.9,0,0.9,0,10.18,0,0,53.19,0,0.71,0,0,0.83,0,0,0,0,109.72,0
 96-106,0,0,0.64,0,9.26,2.97,0,0,470.33,0.77,0,0,0,0,1.42,0,0,0,0,73.46,0,1.16,0.57,0,2.4,0,0,0,0,108.05,0
108-118,0,0,1.56,0,6.13,0,0.48,0,461.49,0.47,0,0,8.14,0,3.18,0,1.32,0,0,35.69,0,0,0,0,3.09,0,0,0,0,71.73,0
120,0,0,15.87,0,28.8,0,0,0,736.37,0,0,0,33.91,0,0,0,0,0,1.03,61.59,1.45,0,0,0,1.36,0,0,0,0,84.92,0
