stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,149.63,730.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68,0,0,0,0,0,0,0,0,0
  5-6,187.02,906.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.44,212.46,32.38,0,0,50.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5329.47,94.72,0,0,3007.1,0,9.83,0,0,0,0,0,0,0,0,0
 10-12,0,423.54,48.09,0,0,85.83,0,0,0,0,10.69,0,0,0,0,0,0,0,0,0,0,0,11802.66,105.28,0,0,3030.74,0,0,0,66.59,0,0,8.02,0,0,0,0
 14-21,0,0,0,18.22,0.94,6.45,0,0,34.06,0,0,0,1.59,1.26,1.11,0,0,0,8.47,0,0,13.65,3450,8.33,5.78,0,19.99,0,1.67,5.67,0,0,7.01,2811.66,0,0,0,0
 24-34,0,0,0,13.75,2.45,31.62,0,0,47.78,1.08,0,0,0,0,2.16,0.79,3.06,0,10.73,0,0,22.27,9538.06,0,10.61,3.45,0,0,11.09,0,0,0,3.75,1200.73,0,9.47,0,0
 36-46,0,0,0,2.65,0,34.21,0,0,56.41,0,0,0,0,0,0,7.47,3.01,8.96,16.21,0,0,0.84,6926.1,0,1.37,1.2,0,0,1.55,0,0,0,0,1445.48,0,1.09,0,0
 48-58,0,0,0,12.28,0,104.48,2,0.5,86.42,0,0,0,0,0.4,0,2.33,0,0,7.64,3.39,1.08,0.94,3805.3,6.97,0.87,0.64,0,0,5.89,0,0,1.28,0,1148.32,0,0.56,0,4.47
 60-70,0,0,0,0,0,48.69,0,0,26.51,0,0,0,0.6,15.97,0,0,0,0,3.23,0,0,0,1212.12,3.91,0,1.74,0,0,0.75,0,0,0,0,352.66,0,0,0,0
 72-82,0,0,0,0.83,0,38.4,0,0,92.14,0,0,0,2.36,0,0,1.71,0,0,5.73,0,0.78,0,749.82,0,0,0,0,0.71,0,0,0,0,0,126.57,0,0,1.23,0
 84-94,0,0,0,0,0,36.82,0,0,90.35,0,0,0,0,0,0,0,0,0,8.63,0,0,0,529.1,0,0,0,0,0,2.2,0,0,0,0,93.25,0,0,0,0
 96-106,0,0,0,2.06,0,27.08,0,0,66.68,0,0,1.53,0,0,0,0,1.05,0,10.88,0,0,3.52,374.67,0,0,0,0,0,0,0,0,0,0,37.13,1.52,0,0,0
108-118,0,0,0,6.68,0,20.07,0.77,0,87.14,0,0,0,0,0,0,0,0,0,2.81,0,0,0,575.17,0,1.4,0,0,2.98,0,0,0,0,0,35.95,0,0,0,0
120,0,0,0,2.51,0,85.47,0,0,73.66,0,0,0,9.33,0,0,0,3.23,0,3.06,0,6.66,0,432.9,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
