stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,234.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.31,0,0,0,0,0,0,0,0,0,0,0
  5-6,40,265.21,0,6.55,0,0,0,0,0,0,0,0,21.21,0,0,0,0,0,0,0,0,0,55.64,0,0,0,22.26,0,97.38,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,29.42,0,141.01,0,0,109.9,0,0,0,0,0,8.66,0,0,0,0,0,0,0,0,0,1202.36,37.73,0,0,138.84,0,3.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,78.41,0,86.04,0,17.6,100.77,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,2313.45,67.03,0,0,249.97,0,0,0,0,14.26,0,0,4.47,0,0,0,0,0
 14-21,0,0,3.77,0.85,45.72,73.94,20.78,0,0,0,51.07,1.63,3.52,0.84,77.06,0,0,0,0,15.47,0,5.01,3576.6,16.73,1.37,0,0.83,0,0.99,0,10.67,3.42,0,10.46,892.08,0,0,7.19,0,0
 24-34,0,0,8.2,1.27,9.73,16.81,33.54,0,1.34,0,85.38,0,2.95,0,147.6,0,0,2.41,0,32.32,0,9.76,5910.4,0.83,17.17,6.6,0,0,15.92,0,0,0,0,2.53,1332.02,0,0,49.45,0,0.72
 36-46,0,0,0,0,2.25,0,112.72,0,0,3.11,120.2,0,0,0,151.37,0,0,0,3.73,15.7,0,2.7,7460.52,0,16.15,0,0,0,4.68,0,0,2.78,0.64,0,1291.97,0,0.85,6.38,0,8.34
 48-58,0,0,1.71,0,18.03,0.56,408.84,0.38,2.85,1.02,142.85,0,0,0,156.43,0,0.44,0,10.56,41.3,0,5.03,7404.45,5.11,8.97,1.95,0,0.47,5.53,0,0,0,0,0,974.22,0,0.61,5.19,0,23.19
 60-70,0,0,0.7,0,3.18,0,371.61,0,0,0,75.97,0.63,0,0,106.7,0,0,0,0,28.24,7.23,2.38,5377.21,0,10.4,1.85,0,2.18,5.04,0,0,0,0,0,498.49,0,0.56,3.15,0,0
 72-82,0,0,2.16,0,19.62,4.55,420.7,0,0,3.22,93.81,1.2,0,0,199.38,0,0,0,0,52.28,0,0.92,3658.5,0,11.79,2.95,0,0.72,5.73,0,0,2,0,0,153.43,2.8,2.42,9.98,6.67,7.83
 84-94,0,0,3.87,0,3.84,5.76,282.67,0.79,0,2.96,53.92,0.62,0,2.92,251.27,2.62,0.66,0,0,49.03,1.7,8.06,2138.49,0,6.48,0,0,0,13.03,0,0,0,0,0,176.93,1.03,2.28,8.19,0,6.14
 96-106,0,0,6.2,0,8.72,5.47,221.52,0,1.32,0,66.11,4.64,0,0,290.46,0.66,0,0,0,32.99,0,0,1878.86,0,1.76,3.1,0,1.67,1.38,1.35,0,0,0,0,63.36,3.32,0,3.09,2.02,1.1
108-118,0,0,0.93,0,29.34,3.48,197.52,0,0,0.81,30.13,1.29,0,0,251.79,0.73,0,2.89,0,23.12,0,0.71,2249.33,0,4.45,0.53,0,7.69,2,0,0,0,0,0,34.39,0.91,0,8.93,0,0
120,0,0,0,0,12.8,6.16,176.26,0,0,5.01,35.21,0,0,5.1,253.36,0,0,18.25,0,4.7,0,0,2336.93,0,2.15,0,0,15.95,12.32,0,0,5.04,0,0,38.57,0,0,23.6,1.05,0
