stage,endocrine.pancreas,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.89,0,0,0,0,0,0,0,0,0,0,0,21.94,0,0,0.81,0,1.79,28.89,0,0,0,0
 24-34,0.75,0,9.96,0,0,0,0,0,0,0,0,0.86,0,0,175.12,4.88,0,0,0,0,97.93,0,0,0,0
 36-46,0,0,76.59,0,0,0,0,0,0,0,0,0,0,0,383.05,4.53,0,0,0,0,170.12,0,0,0,0
 48-58,0.74,0.41,364.99,0,0,9.23,0,0,0,0,0,2.7,0,0,660.07,2.18,0,0,1.13,0,151.18,0,0,0,0
 60-70,1.14,1,887.98,0,0,11.09,0,0,0,0,0,6.53,0,0,844.69,1.48,0.68,0,0,0,169.4,0,0,0,0
 72-82,0.83,3.38,994.5,0.5,0,16.45,0,0,0,0,0,8.57,0.7,0,843.34,3.66,0.54,0,0,0,59.68,3.83,3.28,0,9.56
 84-94,0.7,1.99,719.92,0.68,0,12.1,0,0,1.13,0,0,7.88,0.58,0,673.25,0,2.07,0,1.46,0,63.19,0.68,0,1.21,0
 96-106,1.97,2.23,799.47,0,0,20.29,0,0,0,0.67,6.08,7.96,0,0,481.58,2.58,1.66,0,0,0,22.51,0.94,0,0,0
108-118,2.19,12.75,908.69,0,0.65,19.65,0.46,0,0,0,5.57,10.9,1.62,0.82,654.72,0,1.87,0,0,0,30.05,0,0,1.6,0
120,0,6.09,528.34,0,0,28.12,0,1.96,0,0,0,15.82,0,0,676.84,0,3.28,0,0,0,19.57,0,5.28,0,0
