stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.06,0,0,0,0,0,0,0,0
 14-21,0.82,2.11,0,0,0.83,0.98,0,0,0,0.8,0.97,18.68,0,2.33,0,3.35,0.83,2.71,0,0
 24-34,0,5.24,0.61,0,1.79,0,0,0,0,2.29,1.22,39.84,0,0,0.72,0,0.62,5.21,2.74,0
 36-46,1.3,0,24,0,1.01,0,0,0,0,2.75,0,60.5,0,0,0,0,0,4.75,0,0
 48-58,0.63,0,14.03,0,0,0,4.46,0,3.76,5.47,0.7,20.17,0,0,0,0,0,3.63,0,0.54
 60-70,2.04,0,8.02,0,11.09,0,0,0,0,0.58,0,32.02,0,0,0,0,0,2.89,0,0
 72-82,0,0,7.57,0,2.42,0,0,0,0,4.38,0.54,4.59,0,0,0,0,0,5.42,0,0
 84-94,0,0.99,9.03,0,0.82,0,0,0.56,0,4.34,1.68,1.31,0,0,0,0,0,0,0,0
 96-106,0,0.64,11.03,0,0,0,0,0,0,1.91,0,6.06,0,0,0,0,0,0,0,0
108-118,0.88,0,0,0.59,1.1,1.38,0,0,0,0,0,14.4,0,0,0.41,0,0,3.85,0,0
120,0,0,0,0,9.34,1.88,1.25,0,0,5.51,0,31.36,7.02,0,0,0,0,0,0,0
