stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,somites,spinal_cord,taste
  3-4,1211.01,19396.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678.72,0,0,0,0
  5-6,255.05,1558.53,12.33,0,0,0,0,0,0,0,0,2509.87,8.7,0,0,21.65,59.42,0,0,0,0
  7-9,24.07,0,33.11,0,28.75,0,20.17,0,0,0,0,232.84,14.92,0,0,85.52,0,4372.54,0,0,0
 10-12,0,0,22.26,0,11.65,0,0,0,0,0,0,79.17,4.59,0,0,8.94,0,1255.61,0,0,0
 14-21,0,0,18.2,10.41,0.94,0,1.35,0,0,0,0,67.35,128.13,0,0,1.02,16.74,264.99,1.07,0.87,0
 24-34,0,0,0,0.62,0,0,0,2.74,3.76,8.12,0,2.55,0,1.51,0,0,5.09,0.86,0,0,0
 36-46,0,0,0,0.57,0,3.26,0,0,1.21,0,1.01,0.83,0,0,0,0,0,17.34,0,0,0
 48-58,0,0,0,0,0,0,0,0,0.47,0,0,2.07,0,0.48,5.18,0,2.19,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,1,0,0,1.62,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.43,0,0,0,0,7.55,0,0.5,0,0,0.5,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,5.9,0,0,0,0,4.91,0,0,1.02,0,0,0,0
 96-106,0,0,0,0.62,0,0,0,0.74,14.25,0,0.72,0,0,11.24,0,0,7.73,0,0,0,0
108-118,0,0,0,1.55,0,0,0,2.7,9.55,0,0,2.11,0,5.45,0,0,11.23,0,0,0,0.5
120,0,0,0,0,1.13,0,0,4.71,0,0,0,3.59,0,4.8,0,0,5.51,0,0,0,0
