stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,9.61,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0
  5-6,0,38.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.13,0,0,0,0,7.59,0,0,7.97,0,0,0,0,11.63,3.71,6.42,0,0,0,0,0,0
 10-12,0,0,7.89,0,0,9.15,0,0,12.81,0,0,0,0,21.03,0,12.46,0,0,3.87,0,0,0
 14-21,0,0,0.84,5.83,0,1.1,0,0,7.36,36.79,7.34,2.54,0,3.36,9.51,0,0,1.2,3.45,0,0,1.45
 24-34,0,0,0,1.75,1.11,0,0,0,0.67,40.53,2.89,0,1.58,3.17,3.97,0,0,9.34,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,15.6,0,0,0,0,0.76,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,7.87,0,0.4,0,0,0,0,4.44,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.85,0,10.22,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.75,0,0,5.95,0,0.6,3.68,0,0.59,0,5.27,0,0,0.73,0,0,0,0,0
 84-94,0,0,0,0,0,0,12.31,0,0,8.16,0,0,6.57,2.56,0,0,0,0,0,1.19,5.31,0
 96-106,0,0,0,0,0,0,8.49,0.78,0,41.89,0,5.65,0,13.96,0,0,1.8,0,0,0,0,0
108-118,0,0,0,0,0,4.2,23.55,0,0,28.15,0,0,0,0,0,0,1.5,0,0,0,0.63,0
120,0,0,0,3.48,0,0,33.77,0,0,1.85,0,0,0,0,0,0,3.81,0,0,0,0,0
