stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,13.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.92,0,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.69,40.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,289.26,13.49,3.27,0,0.82,0,0,0,1.87,0,0,0,0,0,0,16.57,0,0,7,11.09,79.91,0,0,0,1.62,1.44,2.5,4.09,0,0,0,0
 24-34,0,0,333.85,4.45,4.41,0,20.95,1.59,0,1.69,0,0,0.9,0,0.65,0,0,5.72,3.26,0,6.44,32.25,42.65,0,0,0,0.72,0,0,1.71,0,0,1.5,0
 36-46,0,0,279.55,0.63,3.37,0,13.72,1.36,0.77,0.56,0,2.29,0,0,0,0,9.72,5.87,0.86,0.71,7.53,16.24,41.56,0,0,0,0,0,0,10.16,0,0,0,0
 48-58,0,0,187.99,2.05,1.41,0,14.16,0,0,0,0,2.96,0,0,0,0,0,15.12,0.82,0,0.39,22.1,52.99,0,0,0,0,0,0,14.89,0,1.25,1.12,0
 60-70,0,0,149.33,0.77,13.2,0,16.25,5.41,0,0,0,1.09,0,6.34,0,0,0,45.93,0.74,0.82,3.44,9.94,27.9,0,0,0,0,0,0,13.65,0,19.65,0,0
 72-82,0,0,119.99,1.8,2.73,0,1.6,6.74,1.17,0,0,5.14,0,0,1.36,0,0,94.35,1.16,0,3.22,5.21,2.24,0,0,0,0,0,0,15.94,0,6.67,2.44,3.48
 84-94,0,0,185.48,2.36,10.84,0,21.91,1.27,1.09,4.36,0,0.6,0,0,0,0,0,91.89,1.94,0,5.93,1.89,14.64,0,0,0,0.71,0,0,0.63,0.59,21.79,1.31,7.09
 96-106,0,0,132.66,0,5.82,0.9,13.74,6.12,0,0,0,11.36,0,0,0,1.19,0,68.05,1.13,1.06,7.66,11.23,4.81,1.64,0.59,0,0,0,0,0,0,15.72,1.91,11.9
108-118,0,0,147.8,0.8,0.68,0,23.01,0.77,0,2.12,0,5.44,0,0,0,0,0,70.78,1.39,0.94,5.17,11.99,5.83,0,0,7.3,0,0,0,9.69,0,12.05,8.98,9.69
120,0,0,103.46,0,0,0,14.49,0,0,0,0,18.88,0,0,0,0,0,93.97,2.29,0,3.96,1.49,0,0,0,2.67,0,0,0,0,0,10.02,9.78,30.95
