stage,epidermis,erythrocytes,eye,glial,heart,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal_cord,vasculature
 14-21,0.87,0,0.99,0,0,0,0,0,0.83,11.23,2.83,0,0,0,0,4.49,0
 24-34,0.61,0,0,0,0,0,0,0,0,0,11.52,0,0.98,0,0.95,1.52,0
 36-46,0,0,1.49,0,0,0,0,0,0,0,8.47,1.67,0,2.85,1.74,1.38,0
 48-58,0,0,3.6,0,0,0,0,0,0.85,0,5.6,0,0,0,0,8.15,0
 60-70,2.76,1.14,21.38,0.86,2.9,0,0,1.24,4.79,0,14.79,1.31,0,0,0,0,0
 72-82,0,0,7.37,0,0,0,0.64,0,1.76,0,8.45,0,0,0,0,0,0
 84-94,0.56,0,6.4,0,0,0.65,0,2.47,0,0,17.43,0,2.01,0,0,1.05,0
 96-106,0,0,0,0,0,3.67,0,0,4.7,0,16.94,0,0,0,0,0,0
108-118,0,0,2.94,0,0,0.64,0,0,0.62,0,5.71,0,0,0,4.12,0,0
120,5.43,0,4.33,0,0,8.54,0,0,0,0,17.86,0,0,0,0,0,4.09
