stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,iridophores,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,2.88
 24-34,0,0.76,0,0,0,0,0,0,0,0,0,0,6.6,0,0,0,4.13,0.71,0,184.46
 36-46,0,0,1.82,0,0,0.63,0,0,0,14.33,1.69,0,11.52,0,0,0,2.71,0.94,0,477.07
 48-58,0,0,0,0,0,6.72,0,0,1.83,5.18,11.42,1.25,15.95,0,0,0,0,0.66,0,463.57
 60-70,0,0,0,0,0,0,0,0.85,0,7.43,47.81,1.86,10.73,0,0,0.65,0,0,0,361.93
 72-82,0,3.14,0,0,0,6.99,0.59,2.23,0,0,29.11,1.95,9.15,0,0,0,0,0,0,368.94
 84-94,0,8.98,0,0,1.39,11.41,0,5.57,0,0,103.86,3.27,6.61,0.69,0,0.92,1.33,3.96,0,222.19
 96-106,2.73,6.04,2.76,0,0,22.15,0.6,6.07,0,0,59.01,0,1.69,0.91,0,1.85,3.29,5.05,0,382.48
108-118,0,11.72,1.15,0.66,2.83,6.74,0,4.16,0,0,123.1,8.22,10.38,0,0,0.47,0,0,1.09,569.16
120,0,8.82,2.98,0,0,6.41,0,1,0,11.11,52.64,0,0,0,0,2.14,0,0,0,253.76
