stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
 14-21,0,2.8,0,0,1.03,0,0,0,0,0,0,0,0,0,0,5.81,0,0,0,0,0.96,0,6.37,0,0,0
 24-34,0,0,0,0,2.65,0,0,0,0,0.6,0,0,0,0,0,4.29,0,2.47,0,8.19,0,0,0.63,0.78,0,0
 36-46,0,0.63,0,0,0,0,0.93,0,0.56,0,0,0,0,0,0,15.42,0,1.34,0.72,10.43,0,0,0,0.85,0.88,0
 48-58,0,0,0,0,4.29,0,0,0.46,0,0,0,0.41,0,1.29,0.65,12.63,0,0,0,7.35,0,0.44,0,6.56,0,0
 60-70,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,2.18,0.66,4.93,0.63,7.08,0,0,0,0,0,0
 72-82,0,1.26,0.94,0,0,0,0,0,0,0,0,1.61,0,0.88,0.56,1.17,0,11.69,0.56,7.92,0,0.64,0,7.28,0,0
 84-94,0.98,9.49,0,0,1.59,0,1.66,0,0,0,0,0,0,0,2.96,7.28,0,4.16,2.5,39.01,0,0.76,0,0,0,0.59
 96-106,0,12.33,22.14,1.94,0.98,0,0,1.99,3.92,0,0,2.37,9.97,1.59,0.78,2.37,0,4.54,2.69,38.28,0,0,0,0,0,0
108-118,0,19.5,0,0.71,1.27,0,1.98,1.42,1.17,0,0.55,2.98,0,2.66,0,6.72,0,13.75,0.84,31.07,0,0,0,0,0,0
120,0,38.03,0,0,3.13,7.8,2.64,0,1.4,2.75,0,3.66,0,1.1,0,10.57,0,4.59,0,46.69,0,1.12,0,0,0,0
