stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.51,0,0,0,0,0,0,0,0,0,0
 14-21,0.88,0,0,0,0,0,0,0.85,0,0,0,11.87,0,0,0,5.24,0,0,0,0,0,3.98,3.72,0,0,0
 24-34,0.84,0,0,0,0,0,0,4.23,0,0,0,19.63,0,0,0,1.94,0,0,0,0,0,7.17,0.69,0,0,0
 36-46,2.61,0,0,0,0,0,0,4.01,2.46,0,0,10.64,2.02,0,0,0,0,1.13,0,0.67,0,9.89,1.96,0,0,0
 48-58,1.07,0,0,0,0,0,0,1.53,2.61,0,0,18.25,0,0,0,10.59,0,0.86,0,0,0,6.6,0,0,0,0
 60-70,0,0,0,0,0.88,0,0,16.14,0,0,0,33.41,0.88,0,1.06,0,0,0,0,3.2,0,2.56,1.58,0,0,0
 72-82,0.78,0,1.26,0,3.56,0,1.25,39.12,2.33,0,0,73.35,0,0,0,10.65,0,0,2.7,2.33,0,2.24,1.22,0,0,0
 84-94,3.11,0,0,0,15.48,0,0.69,58.8,0,0,0,420.25,6.97,2.99,7.25,12.53,0,0,0,1.23,0,8.08,0,0,1.23,0
 96-106,2.37,3.53,5.1,0,19.7,0,1.42,22.97,5.77,0.86,0,482.46,4.86,0,0,44.96,0.89,0,0,4,0.76,11.16,0,0,2.81,0
108-118,5.66,0,4.03,3.93,2.49,0.56,0.54,33.81,8.01,0,0.88,821.29,7.06,2.42,0,52.27,0,2.19,0.58,1.14,0,3.58,3.36,0.84,0.77,2.72
120,0,0,0,0,10.07,0,16.16,20.73,9.62,0,0,276.94,7.94,0,0,55.17,0,0,0,0,0,4.27,0,0,0,0
