stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,34.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.62,87.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.02,7,0,11.56,0,0,0,37.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.1,0,0,0,36.26,0,0,0,13.28,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.07,7.09,0,0,23.9,0,0,4.61,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.26,0,0,4.23,0,0,0,2.78,0,1.63,0,0,0,0,0,0.88,2.33,0,0,0.92,220.53,0,0,0.85,0,0,0,0,0,0,102.92,0,0,0,0,0
 24-34,0,0,0,0,2.57,0,0,10.33,0,0,0,4.34,0,0,0,0,0,0,0,0,1.13,0,0,0.8,829.37,0.62,3.05,0.61,0,0,0.72,0,0,0,196.67,0,0,0,0,0
 36-46,0,0,0,0,1.31,0,0,69.63,0,0,0.96,16.37,0,0,0,0,0,0,0,0,11.26,0,0,0,2949.02,0.88,7.77,0.82,0,0,1.04,0,0,0,369.61,0,0,4.02,0,0
 48-58,0,0,0,0,6.44,2.64,0,786.95,0.67,0,0.44,61.66,0,0,0,0,0,0.7,0,5.06,17.49,0,1.34,1.96,5175.58,0.5,2.87,1.22,0,0,11.96,0,0,0,507.66,0,0,1.2,0,4.67
 60-70,0,0,1.64,0,9.77,0.57,0,2897.22,0,1.18,0,158.73,0.85,0,6.71,0,3.38,0,0,0,60.16,4.53,0,4.72,9201.81,1.73,4.59,0,0,0,5.93,0,0,1.49,716.67,0,0,0.73,0,41.24
 72-82,0,0,1,0,46.13,12.95,0,3140.01,0.68,0.65,2.65,263.2,0.63,0,6.59,0,4.03,1.6,0,0,99.61,0,15.22,11.79,9495.41,0,0.57,1.24,0,1.77,6.22,0,0.68,0,458.83,3.52,2.87,7.48,3.11,4.97
 84-94,0,0,0,0,50.69,0.76,0,1855.14,0.56,0.86,3.53,252.7,0,0,3.07,1.78,7.28,0.69,0,0,96.46,2.28,12.7,2.11,6009.23,0,1.16,1.41,0,0,13.06,0,0.94,0.69,358.94,0,1.65,1.9,3.52,29.41
 96-106,0,0,1.98,0,33.65,23.59,0,1376.3,0,2.72,0.64,239.48,0,2.15,0.56,0,9.72,0.84,10.33,0,103.48,8.64,6.86,5.46,5072.29,0,1.51,0.59,0,0,7.51,0,0,0,152.1,2.9,11.83,0.83,6.17,0
108-118,0,0,0,0,38.78,6.3,0.44,1222.52,0,0.77,1.47,162.91,3.26,0,5.21,0,10.98,0,3.26,3.15,101.34,0,9.72,2.45,5764.84,0.69,3.58,11.19,0,2.7,8.05,0,0,0,157.81,0.83,0.88,13.91,7.89,0.82
120,0,0,0,0,27.74,14.43,0,1265.96,0,0,4.84,336.64,1.33,0,0,0,15.55,0,0,0,106.07,0,27.74,17.52,7535.33,4.99,13.15,9.8,0,11.16,10.79,0,1.04,0,168.98,0,0,1.69,0,13.4
