stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,59.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.28,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,23.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.24,0,0,0,15.25,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.98,0,4.44,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.95,11.57,0,0,27.88,0,0,0,0,4.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8.38,4.24,0.91,0,0,0,1.41,0,0,0,0,0,0,0,0,3.63,0,0,4.48,48.74,3.78,0,96.41,0,0,2.95,0,4.89,0,1.65,7.13,17.92,0,0,4.25,0,0
 24-34,0,0,0,0,1.86,1.18,6.54,0,0,0.69,0,0,0,0,0,0.85,0.78,0,0,18.21,0,0,6.01,94.9,0,5.29,944.87,0,0,3.17,0,0,3.27,0,6.4,14.96,0,0,14.62,0,0
 36-46,0,0,0,0,1.93,0,35.02,0,0,1.09,0,0,2.5,7.4,0,0,0,0,0,15.51,0,0,3.85,154.92,0,5.34,1298.01,0,0,28.02,0,0,0.88,0,0,19.27,0,0,1.01,0,0
 48-58,0,0,0,0,7.95,0.74,89.62,0,0,4.8,17.4,0,0,0,0,0,0,0,0,28.75,0,0,0.86,123.48,0.38,0,1616.74,0,0,2.11,0,0,0,0,0,12.93,0,0,0.58,0,0.97
 60-70,0,0,0,0,0.9,0,67.73,0.83,0,0,10.84,12.87,0,7.41,0,0,0.69,0,2.64,47.01,0,0,0.63,83.21,0,1.55,1719.77,0,0.71,1.01,0,0,0,0,0,9.62,0,0,1.81,0,0
 72-82,0,0,0,0,1.67,6.22,497.28,0,6.51,0,22.22,0.65,0,8.16,0,0,0.69,4.05,2.62,39.74,0,0,1.29,173.26,0,1.2,2054.62,0,0,7,0,0,0,0,0,7.91,0.67,0,0,1.13,16.77
 84-94,0,0,0,0,13.6,1.43,739.81,0,0.84,0.91,5.29,0.73,0,0.65,0,0,0,0,0,37.59,0,0,0.65,164.29,0,3.67,3446.87,0,0,7.3,56.05,0,1.04,0,0,11.41,0,1.05,0.6,0,5.87
 96-106,0,0,2.46,0,124.13,27.28,965.69,1.41,14.7,0,673.92,1.94,4.5,14.81,3.41,0,1.8,0.73,0,27.86,48.74,0,0,263.35,0,1.81,3667.39,0,2.88,18.79,0,0,1.59,0,0,0,7.42,1.93,7.22,0,0
108-118,0,0,0,0,57.32,16.83,826.63,0,2.45,1.16,50.69,1.32,0,2.56,0.58,0,0,5.75,1.34,46.22,0,0,20.13,266.95,2.49,0.46,4324.35,0,3.32,7.84,0,0,0,0,0,155,0,0,0,0.9,7.12
120,7.88,0,0,0,289.56,3.73,2031.84,1.14,33.45,0,180.5,14.77,0,3.95,0,2.93,0,3.49,0,13.35,0,10.27,6.19,217.28,0,0,4054.8,0,0,47.93,0,0,0,0,0,14.78,0,0,5.87,9.97,0
