stage,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0.87,14.84,0,0.83,0,0,0,0,6.71,0,0,0.86,5.37,0,0,0,38.93,0,0,0,0,7.19,0,0,1.17,11.73,0,0
 24-34,0,0.74,0,2.01,0,0,0.63,0,0.85,0,1.08,0,11.94,0,0,1.72,103.91,0,1.47,0.88,2.32,0,0,0,0,10.03,0.84,0
 36-46,0,0,1.12,27.46,0,4.23,0,0,0,0,0,0,7.82,0,0,0.91,119.88,0,0,8.43,0,0,2.13,4.05,0,18.92,0,0
 48-58,0,0,0,30.61,0,24.69,0,0,0,0,0,0,10.79,0,0.5,0,140.8,2.33,0,0,0,0,0,0,0,10.36,1.17,0.38
 60-70,0,4.04,0,75.95,0,10.2,0,0,0,0,2.56,0,19.64,0,0,0.71,152.1,0,0,0.65,2.32,0,0,0,0,19.14,0,0
 72-82,0,1.73,1.23,15.83,2.72,2.85,0,0,0,0,0,0,13.68,0.61,7.47,0,83.21,0,0,0.71,0.53,0,0,0,0,17.44,0,2.54
 84-94,0,8.63,0,8.98,0,2.84,0,0,0,0,0,0,13.88,0,0,0,22.64,0,0,0.78,1.65,0,0,0,0,0,0.66,0
 96-106,0,0,0,16.85,0,1.62,0,0.66,0.82,0,0,0,10.1,0,0,0,7.61,0.58,2.11,0,4.07,0,0,0,0,0,0,0
108-118,0,0.69,0,13.5,0,7.03,0,0.8,0,2.41,0,0,6.17,0,0,0.71,41.01,0,0.46,0,0,0,0,0,0,0,0,0
120,0,3.78,0,18.1,0,0,0,0,0,0,0,0,0,0,0,0,89.35,0,2,0,0,0,0,0,0,0,0,0
