stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,xanthophores
  5-6,13.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,6.85,0,0,0,0,0,0,0,16.27,0,0,5.01,0,0,0
 10-12,0,0,0,0,3.12,0,0,0,0,0,0,0,24.98,0,0,0,0,0,0
 14-21,0,1.12,0,0,0,0,0,0,0,0,0,0,4.41,0,0,0,0,0.88,0
 24-34,0,0,0,0,0,0,1.51,0,0,0,0,0,7.43,0,0,0,0,7.97,0
 36-46,0,0,0,0,0,0,10.64,0,0,0,0,0,24.1,0,0,0,0,25.76,0
 48-58,0,0,0,0,1.98,0,92.22,0,0,1.2,0,0,39.2,5.29,0,0,0,162.21,0
 60-70,0,0,0,0,6.61,0,464.22,0,0,9.04,0,0.92,20.47,0,0,0,0,155.01,0
 72-82,0,10.26,0,0,14.65,0,466.38,0,0,16.16,0,0,23.24,0,13.92,0,0,19.36,0
 84-94,0,2.37,0,0,6.03,0,405.12,0,0,14.67,0,0,59.34,0,5.66,0,0,45.55,0
 96-106,0,4.79,1.15,0.66,14.71,0,503.57,0,0,4.17,1.42,1.08,12.77,0,9.41,0,4.68,8.06,0
108-118,0,0,0,0,12.17,0,477.2,0,0,13.42,0,0.68,37,0,1.77,0,0,0,2.56
120,0,1.66,0,0,31.42,2.36,804.37,1.01,1.45,6.75,0,0,36.75,0,11.08,0,0,0,0
