stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,15.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.42,0,0,0,3.65,0,0,0,0,0,0,0
 10-12,0,7.89,0,0,0,0,0,0,0,0,0,0,0,14.55,0,0,0,0,0,4.18,0,0,0,0,0
 14-21,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0.63
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.61,0,0,0,0,0,0,0,1.19,0,0,0,0,0,0,0,1.59,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,1.2,11.61,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,9.05,0,0,0.99,0,0,0,0.65,0.98,0,0.83,0,1.5,0,0,0,0,0,0,0,0,0
 84-94,0,0,3.45,3.29,0,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,11.35,0,0,0,7.71,0.8,1.12,0,0,1.04,0,1.52,0,0,0,2.81,0,4.11,0,0,0.68,0
108-118,0,0,3.3,4.7,2.46,2.68,0,0.87,0,0,6.16,0,3.34,1.23,1.87,0,1.23,0,1.27,0,0,0,0.47,0,0
120,0,0,15.01,5.05,0,0,0,0,0,0,1.02,0,0,0,1.08,0,0,0,0,1.94,0,0,0,0,0
