stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,hatching.gland,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,slow.muscle,spinal.cord,vasculature
  3-4,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.53,0,0,0,0,0,0,0,20.37,0,0,0,0,0
 14-21,0,5.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0
 24-34,0,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85
 36-46,0,0.78,0,0,0,3.99,0,0,0,0,0,0,0,0,0,1.74,1.86,0,0,0,0,0
 48-58,0,0,0,0,0.88,1.1,0,1.86,0,0,0,0,0,0.41,0,0,2.02,0,0,1.65,0,0
 60-70,0,0,0,0,1.51,1.53,0,0,0,0,0,0,0,0,0,1.6,6.76,0,1.3,0,0,0
 72-82,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0.74,0,0,3.63,0.75,0,0,0,0
 84-94,0,0,0.99,0,2.12,0.79,0,0,0,0,0,0.6,4.86,0,0,9.36,5.57,7.55,0.77,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.07,14.23,0,0,0,0
108-118,0,0,8.96,0.48,7.32,0,0.43,0,0,0.42,0,0.94,0,1.78,1.5,0,0,16.56,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,3.58,3.92,0,10.42,0,0,0,25.8,0,0,0,0
