stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,560.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.74,0,0,0,0,0,0,0,0,0
  5-6,7.01,57.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,13.07,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.19,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.78,75.74,0,2.58,0,0,0,1.01,0,0,0,0,0,0,0,0,11.1,0,0,1.83,12.59,0.96,0,0.86,0,0,1.59,1.04,0,2.01,2.37,0,0,0,0,0
 24-34,0,0,1.36,33.37,0,4.74,2.04,0,0.97,0,0,2.01,0,0,1.94,2.06,0,0,18.1,0,0,5.98,35.97,0,0,1.35,0,0,0.93,0,0,1.26,4.55,0,0,4.05,0,1.95
 36-46,0,0,0,25.51,0,13.54,1.19,0.96,2.55,1.16,0,0.73,0,0,0,2.8,16.36,0,16.16,0,0,5.53,39.84,0,2.28,0.65,0,0,9.83,0,0,0,1.37,0,0,1.93,0,3.06
 48-58,0,0,0,32.81,0,1.18,7.37,1.48,0,0,0,0,0,0,3.18,0.94,7.7,0,5.23,0,0,4.89,10.39,4.4,0,0,0,0,3.89,0,0,0,1.55,0,0.42,4.07,0,28.96
 60-70,0,0,0,37.11,0,11.69,5.44,1.96,3.64,0,0,0,2.37,0,0,0.7,0,0.59,7.51,0,0,3.32,23.87,0,0,0,0,0,5.51,0,0,0,0,0,0,0.84,1.25,26.79
 72-82,0,0,0,49.43,0,16.23,6.92,0,3.94,3.13,0,1.32,0,0.53,2.95,1.62,0,0,31.14,1.17,0.78,0,17.19,1.94,0.51,0.53,0,0,2.04,0,0,0,0,0,2.01,7.19,0.64,19.38
 84-94,0,0,1.01,112.37,0,12.92,23.01,0,1.85,2.19,0,0,3.48,3.89,1.48,3.62,0,10.78,34.38,0.67,3.05,3.59,6.64,0,2.48,0.74,0,1.13,4.37,0,0.7,0,0,3.41,1.17,10.76,0,5.88
 96-106,0,0,0,130.78,2.26,5.18,6.12,1.02,12.06,7.56,0,1.46,10.01,6.84,2.29,5.73,4.94,1.03,41.73,0.72,1.85,3,30.75,0,6.26,2.1,0,2.17,17.33,0,1.33,0,0,3.21,2.54,12.49,0,29.43
108-118,0,0,0.49,194.93,0.66,7.42,23.84,1.12,24.81,12.08,0,2.99,3.05,3.83,6.26,7.25,1.1,0.78,120.28,0.44,1.79,6.76,32.96,0.67,5.77,2.82,0,13.5,13.87,0,0.42,0,4.75,8.3,4.96,15.69,0,19.51
120,0,0,0,178.31,0,9.14,13.65,0,9.4,6.82,0,1.15,1.42,4.55,2.22,4.65,0,0,83.07,1.56,0,5.2,27.19,13.99,2.88,3.65,0,26.9,20.77,0,0,0,0,1.24,4.99,14.48,8.78,13.04
