stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,21.57,60.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,86.91,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.01,0,0,0,0,0,0,0,0,0,0,0,28.93,5.22,0,13.22,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.88,0,0,34.84,0,0,6.56,0,0,0,0,0,0
 14-21,0,1.36,0,0,4.19,0.89,0,0,0,0,0,0,0.93,0,1.81,25.91,0,0,0,0,0,0,1.73,1.16,2.57,3.87,0,0
 24-34,0,0,0,0,2.8,0,1.82,0,0,0,0,0,5.16,0,0,25.98,0,0,0,1.14,1.73,0,0,0,0,4.72,0,0
 36-46,0,0,0,0,0,0,9.02,0,0,0,0,0,2.74,0,0.73,17.71,0.73,0,0,0,2.35,0,0,0,0,4.43,0.81,0
 48-58,0,0,0,0,0,0,2.08,0,0,0,0,0,1.67,0,0.44,15.23,0,0,0,0,0,0,0,0,0,4.94,0,0
 60-70,0,0,0,0,0.6,4.47,3.29,0,1.47,0,0,0,3.72,0,0,10.19,0,0.96,0,0,0,0,0,0,0,4.51,0,0
 72-82,0,0,0.68,0,0,0,2.46,0,1.85,0,0,0,8.41,1.05,0.52,4.88,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0.74,0,2.18,0,1.56,0.97,1.76,0.76,1.42,0,0,15.91,0,0,0,0,0.74,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,5.01,0,0.58,1.15,0,0,1.69,0,0,7.93,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.44,0,1.88,1.36,8.36,0,2.08,0,3.33,0,0,5.24,0,0,0,0,0,0,0,0,0,6.11,0,0.79
120,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,26.06,3.03,0,0,0,0,0,0,0,0,0,0,0
