stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,444.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.58,0,0,0,5.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.73,3.74,0,0,7.68,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.69,0.88,13.89,1.08,0,14.12,0,0,0,2.78,1.89,0,0,0,0,0.93,0,0.97,6.01,0,0,7.45,111.54,3.37,15.78,0,0,0,0,0,4.55,0.81,0,11.35,56.54,0,0,2.46,0,0.92
 24-34,0,10.14,1,31.43,1.33,0,30.91,0,3.53,1.89,40.66,0,4.46,0,4.01,1.29,28.91,0,31.49,111.27,0,3.64,41.45,1584.86,0.83,81.26,5.96,0,2.91,1.19,0,0,1.85,0,1.49,394.44,0,0,63.77,0,16.2
 36-46,0,2.2,0,28.05,0,0,94.81,1.46,5.35,4.08,72.45,0,1.46,0,12.63,12.95,19.32,12,91.96,150.08,0,1.75,80.41,3616.44,1.14,108.17,46.26,0,0,12.19,0,0,0,0,0,679.82,0,1.37,36.73,0,18.86
 48-58,0,1.84,0,54.09,5.86,0,514.4,2.78,29.37,17.88,200.66,0,6.64,4.31,12.92,1.24,17.94,9.62,62.36,282.7,5.73,52.86,62.9,7117.37,12.59,64.02,41.64,3.66,1.5,13.57,0,0,2.27,3.2,0,1322.03,0,1.87,50.21,0,15.21
 60-70,0,11.11,0,100.13,2.26,0,969.47,0,12.99,70.05,250.4,12.95,21.03,8.68,24.91,18.31,30.68,2.74,65.36,686.96,0,63.48,46.81,8396.93,0.57,112.15,29.57,0,5.95,11.05,0,0,5.2,0,0,1903.79,0,13.93,105.47,7.22,13.46
 72-82,0,3.04,0.75,77.08,2.94,0,1136.34,0.53,3.67,54.77,259.56,3.91,4.73,5.39,8.82,4.69,58.38,0.96,19.89,723.07,0,23.96,79.53,5730.75,5.32,83.17,43.18,0,8.28,1.14,0,0,0.53,0,0,951.49,12.39,27.52,161.66,21.86,13.03
 84-94,0,24.01,1,87.22,11.01,0,835.89,1.43,21.8,46.47,280.15,7.35,12.49,3.21,24.31,12.77,38.25,1.49,26.66,597.52,2.19,71.71,49.87,3121.84,0,111.77,55.84,0,4.99,11.37,0,0,4.09,0,0,661.1,7.99,27.28,163.28,21.02,9.23
 96-106,0,6.48,1.03,39.32,24.02,0,457.78,0.87,1.25,33.45,205.41,7.68,11.89,5.14,17.65,14.57,39.49,22.56,23.25,421.69,0,30.89,63.49,1918,0,123.43,25.23,0,34.94,1.6,3.39,0,1.3,0.72,0,172.57,9.1,16.03,96.08,34.34,13.49
108-118,0,4.9,2.73,70.84,12.99,0,613.65,4.23,13.53,32.85,275.16,14.4,7.25,1.48,18.31,8.44,48.12,6.85,33.37,700.49,0,61.47,63.32,2757.39,3.04,99.32,39.41,0,35.8,8.69,0,0,1.89,0,0,188.48,7.64,11.81,126.75,33.05,30.01
120,0,14.84,1.28,122.6,25.75,2.68,1207.41,2.36,1.19,163.35,909.51,33.75,26.16,34.79,45.05,19.72,55.51,23.17,44.36,1180.29,1.56,221.63,98.96,6294.75,7.01,242.61,50.22,10.96,73.88,5.84,0,0,3.93,0,0,253.32,13.92,32.57,328.57,64.39,16.92
