stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,3.97,0,0.85,0,0,1.18,0,0,0,0,0,0,2.96,12.6,0,0,2.08,0,0.83,0,0,1.49,0
 24-34,0.68,0,1.84,0,0,0,0,0,0.66,0,1.33,0,2.36,22.76,1.36,0,0,0,0,5.74,0,0,0
 36-46,0.87,0,0.93,3.98,0,0,0,0,1.61,0.8,2.59,0,1.75,24.03,0,0,0,0,0,4.49,0,0,0
 48-58,0,0.43,0,0,0,0,0,0.41,0,0,2.7,0,0.46,19.79,0,0,0.71,0,0,2.56,0,0,0
 60-70,0,0,8.11,0.64,0,2.59,2,0,0,0,0.98,0,0,21.03,0,0,0.57,0,0,2.21,0,0,0
 72-82,0,0,13.88,0,0,3.63,0,0,1.17,0,2.78,1.09,6.67,35.17,0,0.76,1.06,0,0,0,0.66,0,8.32
 84-94,0.7,0,8.86,0.55,0.86,2.02,0,0,0,0,1.53,0,2.18,5.77,0,0,0,0,0,1.05,0,0.63,0
 96-106,1.03,0,13.42,0.67,0,6.47,0,0,0,0,2.1,1.13,0,9.03,0,0.83,0,0,0,0,1.24,0,0
108-118,0,0,4.45,2.21,0,0,0,0,0,0,4.82,0,0,23.09,0,2.23,0,0,0,0,0,0,0.91
120,0,0,5.7,0,0,24.31,0,0,0,0,0,0,6.84,35.74,0,0,0,1.32,0,0,1.56,0,0
