stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,mucous,neural,paraxial.mesoderm,pericytes,periderm,pgc
  3-4,0,1059.25,0,0,0,0,0,0,0,0,0,0,0,0,47.74,0
  5-6,13.88,254.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.28,0,0,4.69,0,0,0,0,0,24.33,8.44,0,0,7.71
 14-21,0,0,0,0.83,26.55,0,0,0,1.3,0,0,2.6,0,0,0,0
 24-34,0,0,0,0.89,28.02,0,0,0,0,0,0,1.01,0,0,0,0
 36-46,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.75,0,0,0,0,0,0,10.1,0,0,0,0
 60-70,0,0,0,0,8.08,5.79,0,0,0,1.36,0,0.85,0,0,0,0
 72-82,0,0,0,0,30.26,0,0,0,0,1.86,0,4.71,0,0,0,0
 84-94,0,0,0,0,13.45,0,0,0,0,0,0,1.82,0,0,0,0
 96-106,0,0,0,0,39.14,0,0,1.09,0,0,0.71,1.42,0,0,0,0
108-118,0,0,0,0.51,25.62,2.84,0.86,0,0,0,0,1.76,0,3.18,0,0
120,0,0,0,0,28.94,0,0,0,0,0,0,0,0,0,0,0
