stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.08,5.2,0,0,18.16,0,0,0,0,0,0
 14-21,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,1.04,18.16,0.82,0,0,2.48,0,6.91,0,0,0,0
 24-34,0,0,0,0,2.3,0,0,2.16,0,0,0,0,0.6,0,0,64.21,0,0,0.77,0,0,12.64,0,0,0,0
 36-46,0,0,1.07,0,13.56,0,0,0.59,0,0,0,0,10.48,0,0.55,80.36,0,0,0,0,0,17.62,0,0,0,0
 48-58,0,0,0.56,0,13.15,0,0,3.8,0,0,0,0.39,5.35,0,1.06,125.95,0,0,0,0,0,9.96,0,0.58,0,0.54
 60-70,0,0,0,0,31.38,0,9.06,2.08,0,1.75,0,0,3.77,0,0,213.64,0,1.02,0,0,0,5.45,0,0,0,0
 72-82,0,0,0.77,0,30.13,0.5,0,4.64,0.86,0.52,0,0,3.38,0,0,326.17,0,0,0.53,0,4.52,2.77,1.34,0,0,0
 84-94,0,0,2.51,0,30.84,0,0,4.06,0,0.99,0,0,2.42,0,0,251.22,0.74,2.46,0,0,1.51,1.77,0.6,4.41,0,0
 96-106,0,0,1.52,0,21.23,0,0,8.9,0,0,0.63,0,3.31,1.37,0,211.25,0.81,0,0,0,3.82,0,1.13,1.15,1.96,0
108-118,0,0,2.55,0.58,31.42,0,0,5.25,0.8,0,0,0,5.02,3.6,1.18,337.38,0,0,0,0,0.47,4.37,1.39,0.56,0,0
120,0,0,0,0,42.66,2.63,5.27,10.12,0,0,0,0,4.18,0,1.82,878.27,0,0,0,0,1.21,26.54,0,0,0,0
