stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.6,234.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.5,150.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,11.23,0,0,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0,52.28,4.27,0,0,16.93,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,0,0,0,0,0,0,0,51.98,4.45,0,0,12.07,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,1.84,3.35,0.96,0.81,0,0,0,4.41,0,0,0,0,0,0,0,0,1.83,0,0,4.59,61.28,0,0,0.86,0,0,0,5,0,0,7.66,20.29,0,0,1.05,0,0
 24-34,0,0,0,0,3.31,0,20.66,0,1.06,0,0.7,0.73,0,0,0,0,0,0,11.43,7.57,0,0,7.86,228.4,0.6,2.14,0.68,0,0,1.4,0,0,0,1.89,54.67,0,0,2.97,0,0
 36-46,0,0,0,0,0.82,0,41.22,0,0,0,11.67,0,0,0,0,0,0.61,0.85,4.5,15.35,0,0,4.36,266.55,0,0,5.46,0,0,4.23,0,1.95,0,0,58.85,0,0,3.39,0,0
 48-58,0,0,0,0,3.15,0.45,61.49,1.34,0,1.92,10.49,0,0,0,0,0,0,0,0,20.56,0,0,3.23,228.71,0,0,0.54,0,0,2.64,0,0,0,0,51.41,0,0,0,0,0
 60-70,0,0,0.57,0,0,0,107.39,0,0.86,1.41,33.63,0,0,0,0,0,0,0,0,22.22,0,1.71,3.83,289.62,7.37,0,0,0,0,4,0,0,0,0,57.97,0,2.29,1.59,0,0
 72-82,0,0,0,0.56,2.48,0,119.45,0,0,0,8.16,0,0,0,0,0,0,0,0,28.57,0,0,0,245.74,0,2.18,2.22,0,1.08,4.5,0,0,0,0,26.44,1.01,1.56,0,0.91,1.71
 84-94,0,0,0,0,6.44,0,74.5,0,2.11,0,4.35,1.32,0,1.93,0,0,0,0,0,30.52,0,1.13,4.77,156.19,0,0,7.01,0,0,7.35,0,0,0,0,15.34,1.55,0,0.74,1.13,0
 96-106,0,0,0,0,0,0,46.23,0,0,0,6.24,0,0,0,0.81,0.92,0,0,0,30.24,2.53,0,0,100.81,0,0,1.02,0,4.62,1.79,0,0,0.6,0,1.3,0,0,4.31,0.74,0
108-118,0,0,0,0,3.58,0,44.42,0,1.89,0,11.67,1.65,0,0.54,0.77,0,0,0,0,14.54,0,0.69,2.82,138.38,0.6,0,0.42,0,0,2.43,0,0,0,0,0,0,3.08,0,0,0
120,0,0,0,0,6.35,0,63.69,0,0,0,30.9,0,0,0,0,0,0,0,0,22.27,0,0,2.35,245,0,0,0,0,0,7.45,0,0,0,0,8.24,0,0,6.9,0,0
