stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,iridophores,mesenchyme,mural_cell,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,116.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,135.38,0,0,0,0,0,0,0,0,0,0,0,0,6.94,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.54,0,0,0,30.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.64,0,0,0,0,0,0,178.92,0,28.78,5.07,20.99,0,0,0,0,0
 24-34,0,0,0,1.79,0,0,0,0,0,0,17.85,0,0,0.89,0,0,0,0,0,0
 36-46,0,0,0,0.79,0,0,0,0,0,0,5.1,0,0,0,0,0,1.16,0,0,1.58
 48-58,0,0.55,0,3.94,1.48,0.95,0,0,0,0,7.8,3.02,0,0,0,0,0,0,0,0
 60-70,0,0,0,17.11,0,0,0,0.82,0.59,0,9.38,0,0,0.67,0,1.67,0,0,1.03,0
 72-82,0,0,0,7.26,0,0,0,0,1.33,0,26.17,0,0,1.51,0,0,0,0.99,0,0
 84-94,0,0,0,0,0,1.76,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0
 96-106,0,3.06,2.89,0.85,0,0,0,0,0,0,1.32,0,0,0.86,0,0,1.8,0,0,0
108-118,0,0.6,0,1.27,0,0,0,0,0.5,2.89,4.92,0,0,2.96,0,0,0,0,0,0
120,0,1.34,0,1.65,0,11.16,0,0,23.65,0,31.67,0,0,3.38,0,0,0,0,0,0
