stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,141.3,1726.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.7,0,0,0,0,0,0,0,0,0,0,0
  5-6,104.26,1708.47,0,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.55,0,0,0,0,0,44.32,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.39,22.8,0,28.99,0,0,0,65.28,0,0,0,0,0,7.27,0,0,0,0,0,0,0,0,0,0,462.81,45.66,0,0,183.46,0,0,15.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.99,0,36.6,0,0,0,34.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711.82,18.73,0,0,270.26,0,0,0,0,40.57,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,17.43,10.05,0,62.06,0,0,0,11.72,2,0,0,0,0.86,0,0,0,2.11,44.75,0,35.07,865.03,10.74,0,2.54,8.86,0,0,0,66.07,0,3.45,74.26,178.57,0,0,1.41,0,0
 24-34,0.88,0,0,2.23,13.99,0.66,0,191.9,0,0,0.7,38.58,0.63,0,3.2,5.2,0,2.99,0.86,0.84,0.89,140.48,0,43.26,2355.14,5.91,1.34,4.03,0,0,9.92,0,0,2.45,0.76,30.86,411.79,0,0,21.42,0,3.25
 36-46,0,0,0,0,11.75,4.78,0,408.57,7.14,0,6.36,137.84,0.83,0,1.45,0,0,9.88,2.21,1.62,0,171.52,2.62,45.06,2984.2,2.86,0.65,2.91,0,0,3.42,0,0,0,10.37,0,660.58,0,0.62,21.19,0,22.08
 48-58,0.58,0,0.46,0,24.42,2.72,0,595.18,12.6,1.12,8.11,193.87,0,0,2.22,0,0,5.9,0,0,9.34,238.29,6.9,43.51,2306.41,0.39,0.84,3.23,0,0,4.82,0,0,0,1.96,0,600.56,0,1.87,5.66,0.5,5.87
 60-70,0.81,0,0,0,20.29,1.23,0,1095.4,6.36,0,11.69,165.55,0,0,0.71,0,0,0,0,6.42,3.41,241.19,8.9,23.54,2370.22,0,1.33,6.8,0,0,3.45,0,0,0.62,0,0,266.05,0,4.28,7.01,0.73,41.4
 72-82,0,0,0,0,12.63,8.74,0,432.23,8.61,0,3.31,87.99,1.05,0,0,0,1.21,0,0.66,6.93,0.56,141.54,10.86,22.74,948.62,0.73,0,10.06,0,3.61,3.87,0,0,0,0,0,83.12,0,2.3,9.48,3.27,25.43
 84-94,0,0,0,0,8.29,10.97,1.23,372.95,8.76,9.73,9.05,102.83,1.52,0,0.6,1.16,0,4.19,0,10.88,0.78,171.75,0.56,17.2,965.25,11.01,0,4.73,0,0,0.59,0,0,2.02,9.81,0,77.98,0.9,1.05,6.73,2.73,20.78
 96-106,0,0,0,0,4.35,1.65,0.58,221.9,0.87,0.69,19.59,73.66,1.37,0,1.6,1.69,1.91,2.57,1.5,26.22,0.67,74.78,0.67,11.3,452.65,0,0,13.18,0,1.6,3.36,0,0,2.61,0,0,28.9,0,0.75,3.6,2.51,21.28
108-118,0,0,0,0,5.38,9.35,5.46,304.43,5.27,0.6,4.61,74.64,0,0,0,0,0,2.89,0.48,25.94,5.23,87.97,0,22.52,906.55,0,2.07,6.94,0,1.14,0.45,0,0,1.09,0,0,30.72,0,2.65,8.05,1.68,11.13
120,0,0,0,0,3.4,30.96,0,248.81,4.35,1.21,16.26,144.66,19.01,5.2,0,0,0,0,0,25.56,0,91.1,0,30.34,1043.15,0,4.72,12.71,0,0,0,0,0,12.15,13.04,0,22.76,0,0,16.79,11.8,0
