stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,18.54,11,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.18,0,0,0,0,0,0,0,65.52,0,0,0,13.57,0,0,0,0,0,0,0
 14-21,0.81,0,0.93,2.84,1.11,0,0,0,0,3.75,0,37.18,0,0,0,0,1.07,1.27,2.99,19.47,0,0,0
 24-34,0,2.87,0,10.69,0,0,6.16,0,0.6,8.37,2.73,93.77,0.65,0.76,0.79,0,17.18,0,0,28.16,0,0,0
 36-46,0,0,0,7.84,1.97,0,0,0,0,4.22,0.74,24.95,0,0.68,0,0,2.14,0,0,6.18,0,0,0
 48-58,0,0,0,8.52,2.35,0,0,0.39,0,3.84,0.59,43.52,0,0,0.93,0,10.46,0,0,6.71,0,0,0
 60-70,0,5.09,0,24.01,10.95,1.69,0,0,0,7.54,0,27.77,0,0,0,0,3.22,0,0,2.21,0,0,0
 72-82,0,0.63,0,5.63,1.97,1.52,0,0.54,0,3.14,0,16.76,0,0,2.33,0,3.85,0,0,3.78,0.81,0,0
 84-94,0,0,0,10.98,1.57,0,0,0.73,0,1.59,0,4.72,0,0,0,0,2.78,0,0,1.2,0,2.36,0
 96-106,0,0.8,0,0.59,3.68,0,0,0,0,4.3,0,14.19,0,0,0.78,0,0.58,0,0,0,0,0,0
108-118,0,0.42,0,0.55,6.64,0,0,0.43,0,0.61,0.78,5.53,0,0,0,0,2.35,0,0,0,0,0,0
120,0,0,0,1.98,0,0,0,0,0,3.39,0,0,0,0,1.4,0,5.38,0,0,0,0,0,1.96
