stage,blastomeres,endoderm,epidermis,fin.mesenchyme,glial,heart,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,150.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,75.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.22,3.8,0,0,0,0,0,0,0,14.89,0,0,7.66,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.09,0.97,0,0,0,0.95,1.83,1.64,0
 24-34,0,0,0,0,0,0,0,0,0,12.16,0,0,0,0,0,0,1.21,0
 36-46,0,0,0,0,0,0,0,0,0,7.57,0,0,0,0,0,0,2.24,0.81
 48-58,0,0,0.73,0.41,1.49,0,0.73,2.49,0,1.46,0,0,0,0,0,0,3.24,0
 60-70,0,0,0,0,0.94,0,0,0,0,1.31,0,0,0,0.69,0,0,1.03,0
 72-82,0,0,0,0,0.57,0,0.64,0,0,1.09,0,0,0,0,0,0,0.81,0
 84-94,0,0,0,0,1.2,0,0,0.76,1.37,0,0,0.59,0,0,0,0,0,0
 96-106,0,0,0,0.8,1.46,1.61,0,0.94,0,1.3,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.03,0,0,4.03,0,0.96,0,0,0,1.03,0,0,0,0
120,0,0,0,0,0,0,0,0,0,18.43,0,0,0,0,0,0,0,0
