stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.18,63.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0
  5-6,0,48.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0,24.62,0,0,0,0,0,0,16.34,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,26.23,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.15,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,1.99,11.41,0,0,0,0,0,21.46,0,0,0,5.86,0,0,0,0,0
 24-34,0,0,17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38,0,0,8.41,50.73,0.6,1.03,1.47,0,0,62.71,0,2.23,0,24.81,0,0,5.44,0,0
 36-46,0,0,1.69,0,0,2.18,0,2.39,0,0,0,0.59,1.06,0,1.01,0,0,1.81,27.11,0,0,0.72,45.47,5.87,0,2.83,0,0,67,0,13.86,1.91,17.18,0,0,2.56,0,0
 48-58,0,0,2.85,0,0,7.26,0,0,0,4.23,0.64,0.7,0.88,0,0,0,1.31,5.15,11.05,0,0,2.6,31.26,1.12,0,0,0,0,35.8,0,0,0,4.06,0,0,2.43,0,0
 60-70,0,0,10.38,0,0,10.78,0,4.47,0,15.56,0,0,0,0.99,0,0,0,0,35.7,0,1.46,2.89,58.11,0,1.56,0.62,0,1.22,58.84,0,0,0,5.07,0,0.73,0.58,0,4.67
 72-82,0,0,1.42,0,0,7.39,0,0.73,0,15.25,0,0,0,0,0,0,0.55,1.95,28.19,0,0,2.92,27.59,0,1.23,1.38,0,3.86,20.64,0,0,0,2.3,0,0,2.44,0,0
 84-94,0,0,7.67,0.69,0,5.34,0.69,0.62,0,34.58,0,1.22,0.97,0,2.14,0,0,0.73,26.2,0,0,0,24.43,0.61,0,1.5,0,0,50.81,0,1.52,0,0,0,0.88,4.15,0,0
 96-106,0,0,3.17,0,0,14.01,0,2.21,0,56.45,4.82,0,1.16,2.17,0.68,0,4.85,0,25.71,0.71,0,2.09,27.75,0,0.63,0.79,0,7.34,51.44,0,0,0,7.2,1.89,0,6.23,1.93,0.8
108-118,0,0,7.27,0.58,1.13,15.62,0.5,1.45,0.62,60.66,0.45,0,2.73,1,4.45,1.35,4.76,0,71.06,0,5.21,7.18,46.57,0.93,3.13,1.79,0,0,30.52,0,0,0,9.35,0,0.41,4.16,1.2,0.51
120,0,0,27.47,0,0,29.04,0,4.34,0,85.4,1.02,0,0,0,2.63,0,7.25,0,38.62,1.56,0,0,8.36,1.33,0,0,0,9.21,16.95,0,0,0,0,1.99,0,10.78,1.8,2.85
