stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.61,221.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.97,0,0,0,0,0,0,0,0,0,0
  5-6,0,267.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.79,0,0,0,0,0,42.12,0,0,0,0,0,0,0,0,0,0
  7-9,10.33,0,42.97,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,53.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.15,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,236.81,0,0,0,5,0,0,0,0,0,5.74,0,0,0,0,0,0
 14-21,1.39,0,1.02,502.34,4.79,0,1.13,0,0,0,0,1.09,0.82,0,0,3.69,0,0,0,0,44.59,1.94,0,3.74,18.85,663.6,0,0,0,0,0,0,8.72,0,2.99,4.55,0,0,33.39,0,0
 24-34,0,0,2.67,498.76,2.71,0,5.66,0,3.7,0,0.73,0,0,27.72,0,5.82,0,0.68,0,3.02,107.36,3.58,0.89,10.54,98.43,1827.09,0,0.67,0,6.18,8.09,0,0,0.93,0,7.4,0,0,182.59,0,6.47
 36-46,0,0,0,524.05,19.1,0,18.87,2.93,15.09,0.57,0,0,0,28.23,0,18.31,0,0,0,8.21,90.24,7.89,20.39,11.18,102.5,1775.42,1.67,0,0,3.65,5.42,0,0,9.62,0,13.6,0,0,221.02,0,1.29
 48-58,1.35,0,0,424.72,6.33,0,28.41,0,24.06,1.23,6.27,0,0,19,0,0,5.4,0,0,18.87,72.44,1.52,22.49,12.59,82.09,859.41,0,0,0,1.7,7.77,0,0,0,0,11.14,0,0.84,298.56,0,10.11
 60-70,2.89,0,0,453.63,0,0,35.12,0.63,27.24,0,2.54,5.93,0,9.13,0,0,0.81,0.8,0,5.16,209.12,5.04,22.83,7.29,62.35,458.82,0,0,0,6.38,4.92,0,0,0.84,0,11.27,2.44,20.43,283.41,8.36,0
 72-82,0,0,0.56,346.16,4.79,0,41.84,1.59,16.28,5.89,9.36,1.79,1.48,22.34,0,1.29,0,1.32,0,0.57,731.89,1.62,72.35,18.25,59.27,217.33,0.7,1.1,0,24.77,8.77,1.65,0,0,0,6.23,16.67,58.19,676.62,58.7,7.85
 84-94,0,0,0,676.02,0,0,24.71,8.12,49.45,6.44,6.49,5.85,0,33.43,0,1.8,0,0,0,9.78,585.64,3.57,66.26,3.37,34.97,338.2,0,0.79,0,2.96,5.6,0,0,0.7,0,11.13,36.6,64.34,667.42,114.91,13.47
 96-106,1.12,0,0,607.87,26.04,0.92,62.78,8.94,36.45,4.99,20.26,21.69,0,14.74,3.02,3.48,1.66,0,0,5.79,795.4,4.31,88.18,2.94,64.7,429.81,0,1.32,0,31.7,14.68,2.06,0,1.01,0,5.21,48.63,98.2,901.79,172.83,20.67
108-118,2.91,0,0.74,484.12,11.54,1.35,35.64,12.51,31.49,0.65,9.11,14.23,0,27.22,0.42,0.91,2.62,0,7.99,33.94,702.97,2.89,102.81,8.31,80,497.57,1.52,2.23,0,16.09,3.09,0,0,8.35,0,0.93,81.2,73.2,831.76,108.83,20.22
120,7.55,0,0,200.74,10.08,0,18.08,2.3,25.85,2.41,3.39,2.99,0,36.07,0,2.78,0,0,2.84,1.54,624.12,4.52,94.56,0,70.55,564.89,0,4.64,0,26.01,14.71,0,0,0,0,0,25.43,90.39,606.61,133.19,6.78
