stage,blastomeres,eye,mesenchyme,olfactory,spinal_cord
  5-6,12.92,0,0,0,0
 36-46,0,0,0.61,0,0.57
 48-58,0,0.54,0,0,0
 72-82,0,0,0,48.93,0
108-118,0,0,0,19.2,0
120,0,0,9.12,0,0
