stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.95,0,0,5.38,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0
 14-21,0,0.89,3.76,3.15,1.81,0,6.61,0.97,0,0,0,3.18,0,2.48,21.77,1.42,0,0,0,0,2.93,0,0.91,22.32,0,1.23,0,0
 24-34,0,0,1.55,0,1.66,0,6.84,0,0,0,0,1.55,0,1.37,60.58,0.75,5.19,1.16,0,0,0,0.64,0.67,22.04,0,2.34,0,0
 36-46,0,0,0,0,7.39,0.87,9.81,0,0,0,0,11.45,0.56,0.86,23.16,2.89,5.86,0.58,0,0.87,0,2.02,0,11.33,0,0.65,0,0
 48-58,0,0,0,0,3.3,0,14.55,0,0,0.46,0,6.56,0,3.25,34.95,0,2.88,1.57,0,0,0,0,0,14.75,0,1.45,0,0
 60-70,0,0,0,0,9.71,3.15,16.79,0,0,0,0,6.21,0.89,0.74,11.5,0,6.94,3.23,0,0,0,3.01,0,3.49,0,0,0,0
 72-82,0,0,0,0,14.67,1.43,8.8,0.65,0,1.05,0,11.5,0,1.7,12.47,0,5.64,3.97,0,0,0,0,0,11.65,0,0,0,0
 84-94,0,0,2.29,0,2.57,0,0,0,0.62,0,0,2.84,0,0,7.07,0,4.05,0,0,0,0,2.39,0,2.58,0,0,0,0
 96-106,0,0,0,0,9.67,0,2.11,0,2.23,1.77,0,11.28,0,0,6.86,0,6.21,12.39,0,0,0,0.82,0,1.22,0.66,1.82,0,1.19
108-118,0,0,1.28,0,1.25,0,4.97,0,0,1.12,0,10.12,0,1.82,8.64,0,6.8,1.54,0,0,0,0.48,0,0.57,0,0,1.02,0
120,0,0,0,0,2.27,0,2.42,0,0,0,1.55,2.9,0,3.6,11.59,0,14.32,0,0,0,0,5.04,0,7.07,0,9.18,0,0
