stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,290.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.23,90.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.32,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,15.31,0,5.14,0,3.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2.3,1.65,0,0,0,0,0,0,0,2.23,0,0,0,0,0,0,0,1.36,0,0,0.88,29.35,4.27,0,0,0,0,0,1.23,0,0,3.43,11.9,0,0,0.92,0,0
 24-34,0,0,1.26,0,8.46,0,0,8.71,0,0,0,3.32,0,0,0,0,0,0,0,0.86,0,17.84,0,0.69,7.95,110.84,14.48,3.67,0,0,0.99,7.47,0.98,0,0,0,52.55,0,0,16.7,0,5.38
 36-46,0,0,0,0,4.86,0,0,5.36,0.61,0.57,0,4.04,0,0,0.75,0,0,0,0.61,0,1.33,34.95,0.77,2.42,9.94,259.5,1.21,2.14,0,0,0.97,5.69,0.81,0,3.15,0,72.29,0,0,17.51,0,2.37
 48-58,0,0,0,0,0.49,0,0,69.5,2.87,0.39,0.8,10.34,0,0.37,1.79,0,0,0,0,0,5.5,33.57,2.2,7.65,2.34,349.35,0.71,1.2,0.43,0,0.92,7.84,0,0,4.05,0,96.13,0,1.4,4.65,0,8.1
 60-70,0,0,0,0,5.42,0,0,228.54,0,1.18,3.8,53.19,0,0,0,0.73,10.18,1.14,0,1.82,5.53,19.34,0,13.24,2.98,567.93,5.27,1.1,0.87,0,0,13.02,0,0,0,0,75.38,1.44,7.96,17.16,0,21.42
 72-82,0,0,0,0,4.08,1,0,273.56,0,0,5.66,46.92,0,0,3.14,0,0,0.59,0,0,3.17,72.53,1.8,5.64,3.94,559.55,3.57,3.1,1.78,0,0,1.76,0,0,0,0,64.28,0,1.41,8.64,2.72,3.67
 84-94,0,0,0,0,5.42,0,0,273.58,0,0,3.96,46.48,0,4.94,1.1,0.71,5.03,0.76,0.66,0,2.38,41.14,2.15,2.05,4.14,475,2.43,2.89,2.62,0,3.71,14.8,0,0,1.3,0,25.9,0.86,11.18,15.83,3.9,0.82
 96-106,0,0,0,0,16.46,1.27,0,250.68,0,0.96,0,51.5,1.04,0,2.61,0.96,0,1.53,5.01,0,0,31.34,3.71,4.1,0.92,392.19,0,0,9.79,0,5.22,6.84,0,0.63,0,0,20.12,0,3.85,11.06,2.14,0
108-118,0,0,0,0,11.42,0,0,239.46,0.42,3.5,1.48,47.73,0.46,0,3.38,1.52,0.45,5.13,2.09,0,5.82,36.17,0,14.32,0.66,375.38,0,2.95,8.65,0,2.78,7.83,0,0,1.21,0,11.75,0.6,7.07,14.85,2.01,1.42
120,0,0,0,0,18.01,3.03,1.14,230.78,0,2.34,2.41,69.88,3.28,0,0,0,2.19,10.45,0,0,3.04,68.25,0,11.56,4.6,502.05,1.2,2.65,8.96,0,13.63,9.42,0,0,0,0,10.88,0,10.44,41.74,0,0
