stage,blastomeres,epidermis,eye,fast.muscle,glial,immune,mesenchyme,neural,notochord,otic,paraxial.mesoderm,taste
  3-4,45.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.42,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,14.77,0,0,0,0,17.23,18.13,0,68.84,0
 10-12,0,0,0,0,0,0,0,16.26,0,0,5.13,0
 14-21,0,0,0,0,0,0,0,1.05,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.92,0,0,0,0
 36-46,0,0,0,0,0,0,1.29,4.5,0,0,0,0
 48-58,0,0,2.09,0,1.75,0,0,2.65,0,0,0,0
 60-70,0,0,18.35,1.23,0.9,0,2.39,15.67,0,0.78,0,0
 72-82,0,3.22,0,0,0,1.77,20.34,21.36,0,0,0,0
 84-94,0,0,1.83,0,0,0,0,7.57,0,0,0,2.85
 96-106,0,0,0,0,0.59,1.99,0,29.2,0,0,0,0.77
108-118,0,0,2.19,0,0,0,6.49,12.36,0,0,0,2.19
120,0,0,0,0,0,0,2.93,53.27,0,0,0,0
