stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,410.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.98,0,0,0,0,0,0,0,0
  5-6,48.34,387.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.76,0,0,0,0,20.72,0,0,0,0,0,0,0,0
  7-9,16.44,0,17.65,0,0,0,29.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367.49,18.53,0,92.64,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.45,65.35,0,0,0,25.07,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,512.93,29.77,0,116.98,0,19.65,0,13.55,0,0,0,0,0,0
 14-21,0,0,1.01,17.12,2.73,0,5.52,0,0,2.74,0.82,0,0,0.91,0,0,0,10.36,0,0,10.29,72.11,2.16,2.15,2.4,0,26.42,10.03,1.19,8.63,12.17,23.38,0,1.14,0
 24-34,0,0,0,2.79,0,0,6.84,1.07,0,2.42,0,1.21,0,0,0,0,0,10.08,0,0,2.11,63.64,0,3.33,0,0,8.35,0,0,0,3.18,16.1,0,14.51,0
 36-46,0,0,0,0.8,0,0,1.47,0,0,5.99,0,0,0,3.08,0.61,0,0,3.54,0,0,1.68,28.54,0,0,0,0,4.31,0.9,0,0,0,5.81,0,3.12,0
 48-58,0,0,0,1.93,0,0,5.81,0,0.83,0.91,0,0.63,0,0,0,0,0,4.53,0,0,0.57,14.62,0,0.91,0,0,2.17,0,4.97,0,0,3.6,0.42,1.62,0
 60-70,0,0,0,4.39,0,0,13.39,7.26,0,0.74,2.01,0,3.36,0,0,0,0,3.37,0,5.65,0.68,16.78,0,0,0,3.65,5.48,0,0,0,0,0,0.82,0.95,0
 72-82,0,0,0,1.47,1.99,0,4.11,1.01,0.55,10.64,1.82,0,0,0,0,0,0,5.42,0,6.23,0,10.24,0,0.79,0,10.25,2.29,0,0,0,0,0,5.6,0.94,5.88
 84-94,0,0,0,1.91,2.63,0,20.75,0,1.45,8.05,1.45,0,0,0,0,0,0.98,7.57,0,1.07,1.92,7.99,0,0,0,0,8.25,0,0,0,0,1.63,1.5,2.16,7.89
 96-106,0,0,0,3.79,20.88,0,10.66,2.59,1.07,2.6,2.65,0,0,1.18,0,0,0,12.33,0,0.94,1.59,4.14,0,0.77,0,5.7,64.91,0,0,0,0,0,3.91,2.58,3.87
108-118,0,0,0,3.51,1.36,0.55,2.71,1.89,0.79,0,2.76,0,0,0,0,0,0,12.55,1.94,3.13,1.57,29.54,0,0,0,20.2,23.85,0,0,0,0,0.96,0,1.69,2.38
120,0,0,0,0,0,0,2.96,1.13,0,17.7,8.44,0,0,0,0,0,0,12.58,0,1.45,2.56,46.27,0,0,0,0,26.98,0,0,0,0,0,0,0,5.91
