stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,167.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,39.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,31.16,0,0,0,8.54,0,0,0,0,0,0,0
 10-12,0,0,25.44,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,82.12,6.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04,6.13,0,0,0,0,0,0,0,1.13,0,1.17,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,1.19,1.44,0.74,4.59,0,0,0,0,1.19,0,1.65,2.37,0,0,0
 36-46,0,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45,0.81,0,8.45,0,0,0,0,0.69,0,0,3.24,0,0.78,0
 48-58,0,0,0,2.77,0,0,5.47,0,0,0,0,0,1.83,0,0,0,0,1.73,0.71,2.63,0,0,0,0,0,0,0,0.86,0,0.91,0
 60-70,0,0,0,0,0,0,0,0.87,0,0,0,0,0.69,0,0,0,0,6.49,0,3.6,0,0,0,0,10.01,0.76,0,0,0,0,17.81
 72-82,0,0,0,0,0,0,2.62,0,0,1.79,0.7,0,0.66,0,0,0,0,2.84,0.78,2.61,0,0.49,0,0,0.51,0,0,0,0.96,0,0
 84-94,0,0,0,0,0,2.96,2.07,0,1.49,2.11,2.14,0,0,0.87,0.61,0.75,0,6.87,0,5.86,0,0.56,0,0,4.43,1.47,0,0,1.04,0,0
 96-106,0,0,0,1.42,0,0,0,0,0,0,6,0,0,0.83,0,0,0,2.25,0,8.22,0,0,0.74,0,5.1,0,0,0.68,0,2.05,0
108-118,0,0,0,2.93,1.66,1.06,2.11,0,0,3.39,2.85,0,0,0,0.45,0,0.47,12.31,0.65,6.82,0,0.43,1.81,0,2.29,0,0,0,0,3.17,0
120,0,0,0,0,0,0,0,0,0,10.07,0,0,0,2.45,0,0,0,0,2.71,18.44,10.09,0,0,0,18.96,0,0,0,0,0,0
