stage,eye,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord
  7-9,0,0,0,0,0,0,0,7.12,0,0,0
 14-21,0,0,0,0,0,0,0.89,0,0,0,0.95
 24-34,0,0.67,0,0,0,0,0,0.72,0,0,3.19
 36-46,1.13,0,0,0,0,2.84,0.95,5.86,0,0,1.31
 48-58,1.61,0,0,0,0,0,0,7.57,0,0,0
 60-70,1.8,0,0,0,0,0.72,0,10.08,0,0,0.95
 72-82,27.83,0,0.77,0,0.68,0,0.54,4.99,0,0,0
 84-94,21.52,0,0.59,0,0,0,0,2.79,0,0,1.49
 96-106,75.52,0,2.03,1.61,0,1.97,0,2.27,0,0,0
108-118,50,0,1.01,0,0,0,0,5.91,0,0.41,3.91
120,13.58,0,0,0,0,0,0,3.21,2.34,0,0
