stage,endocrine.pancreas,eye,glial,immune,mesenchyme,muscle,neural,periderm,spinal.cord,vasculature
 48-58,0,0,0,0,0,0,3.1,0,0.88,0
 60-70,0,0,0,0,0,0,17.87,0,0,0
 72-82,0,0,0,0,0,0.58,19.26,0,0,0
 84-94,0,4.11,1.09,0,2.01,0,25.91,0,0,0
 96-106,0,0,0,6.81,0,0,16.97,0,0,0
108-118,1.81,1.76,1.54,3.25,6.19,0,39.95,0.6,0,0
120,0,0,11,6.17,0,0,20.47,0,0,5.98
