stage,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,5.61,0,4.25,0,0,0,0,0,0
 14-21,0.94,1.1,0,0,0,0.96,0,0.91,0,0,0.84,0.91,6.47,0,0,0
 24-34,0,0,0,0,0,0,0.79,11.29,0,0,0,0,5.32,2.62,0,0
 36-46,0,0,2.23,8.58,0.58,0.97,0.89,105.64,1.86,0,0,0,3.68,1.41,0,0
 48-58,0,0,5.59,0,0,0,0,96.33,0.93,0,0,0,9.2,3.77,0,0
 60-70,0,0,9.63,1.91,0,1.38,0,237.1,0,0,0,0,15.92,0,0,0
 72-82,1.08,0,16.12,5.78,0,1.35,0,305.2,0,0,0,0,1.04,0,0,0
 84-94,0,0,30.72,0,0,1.19,0,98.86,0,0,0,0,0.83,1.21,0,0
 96-106,0,4.56,19.09,1.76,0,0,0,14.2,0,0,0,0,4.33,0,0.64,0
108-118,0,0,15.36,0,0,0,0,148.97,0,0,0,0,0,1.16,0,6
120,0,0,5.86,3.9,1.54,0,0,96.88,0,0,0,0,0,0,0,0
