stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle
  5-6,6.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,0,0,0
 24-34,0,0,0,0,0,0,0.78,0,0,0,0,3.76,0,0,21.83,0,0,0
 36-46,0,0,0.86,0,0,0,0,0,0,0,0,6.08,0,0,43.54,0.58,0,0
 48-58,0,0,1.51,1.35,2.54,0,0,0,0.77,0,0,7.72,0,0,30.44,2.22,0,0
 60-70,0,0,0,0,0,1.8,0,0,0.67,0,0,2.91,0,0,27.94,0,0,0
 72-82,0,0,0.82,0,0,0,1.26,0.91,1.37,0,1.77,2.26,0,1.38,17.26,1.34,0,0
 84-94,0,0,0,0.55,0,0,0.59,0,0,0.73,0,0,0.9,0,79.41,0,0,1.23
 96-106,0,7.98,4.05,1.37,0,0,1.52,0,1.01,0,0,2.73,0.7,0,53.88,0,0.81,0
108-118,0,2.17,0,0.74,0,0.68,2.25,0.81,0,0.46,0,3.16,1.62,0,49.62,0,1.01,0
120,0,1.12,0,1.13,0,0,4.71,0,0,0,0,4.74,0,0,57.51,0,0,0
