stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,102.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,231.28,0,20.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,28.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249.94,0,0,0,37.93,3.76,9.62,0,0,0,0,0,0,0
 10-12,10.95,0,6.43,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,416.84,9.47,0,0,183.98,6.84,0,13.74,0,12.76,0,0,0,0
 14-21,0,0,0,3.61,0,3.23,0,0,0,0,0,0,1.02,0,0,0,0,1.1,0,0,1.75,5.8,0,0,0,0,3.37,0,1.72,0,7,4.21,0,0,0
 24-34,0,0,0,4.6,0,6.96,0.7,0,0,1.01,0,0,1.64,1.03,0,0.84,0,4.67,0,0,1.39,38.86,0,0,1.61,0,47.36,0,0,0.6,2.33,0,0,0,0
 36-46,0,0,0,1.57,0,0,4.42,0,0,0,0,0.89,2.46,0,0,1.62,0,0.85,0,0,0,4.82,0,0,0,0,89.96,0,0,0,0,0,0,0,0.82
 48-58,0,0,0,0,0,1.24,0,0,0,0,0,0.94,4.69,0,0,2.18,0,1.61,0,0,0,15.85,0,0,0,0,37.39,0,0,0,0,0,0,0.61,0
 60-70,0,0,0,0.9,0,1.63,0.79,0,1.86,0,0,0,9.26,5.08,1.26,0,0,2.69,0,0,0,6.97,0,0,0,0,101.16,0,0,0,0,1.93,0,2.54,0
 72-82,0,0,0,0.6,0,18.41,1.37,0,0.78,1.71,0,0,6.16,0.66,1.21,0,0.5,2.41,0.92,0,2.37,13.55,0,0,0,0,96.68,0,0,0,0,0,1.34,9.72,0
 84-94,0,0,0,2.18,0,0.61,0.62,0,0,0.78,0.91,0,10.83,0,0,0,0,0.8,0,0,0,6.46,0,0,0,0,84.11,0,0,0,0,0,0,4.96,0
 96-106,0,0,0,10.44,0,5.75,4.39,0,0,2.22,0,1.61,6.52,0.85,1.11,0,0,1.27,2.49,0,0,11.95,0,1.63,0,0,160.22,0,0,0,0,0,0,5.38,0
108-118,0,1.57,0,10.15,0,1.45,1.2,0.64,4.12,0.5,0,0,2.11,0.65,0,0,0,1.46,1.83,0.5,0.46,13.17,0,0,0,0,85.35,0,0,0,0,2.35,0,1.12,0
120,0,0,0,9.32,3.93,2.2,1.56,0,0,1.18,0,0,38.03,6.03,0,0,0,2.31,3.7,0,0,12.38,0,1.32,0,0,50.4,0,0,0,0,0,0,3.49,0
