stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,18.55,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.9,0,5.75,0,0
 14-21,0,0,0,0,0,0,0,0,0.91,0,0,0,2.68,0.82
 24-34,0,0,0,0,0,0,0,0.71,0,3.09,0,0,8.26,0
 36-46,0,0,0,0,0,0,0.74,0,0,1.44,0,0,0.69,0
 48-58,0,0,0,0,0,0.81,0,0,0,0,0,0,2.49,0
 60-70,0,0,2.3,0,0,0,0,0,0,0,0,0,7.1,0
 72-82,0,0,0,0,0,0,0,0,0,1.64,0.97,0,5.31,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,1.04,0
 96-106,0,0,5.63,1.07,0.84,3.59,0,0,0,0,0,0,5.09,0
108-118,0,0.5,0.75,0.49,0,5.77,0,1.41,0,0,0,0,4.32,0
120,0,0,1.56,0,0,0,0,0,0,0,0,0,3.95,0
