stage,blastomeres,endoderm,eye,glial,gut,immune,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,132.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,322.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.37,0,0,0,0,0,0,0,0,101.83,0,0,38.85,0,0,0,0,0
 10-12,0,15.07,16.42,0,0,0,0,0,0,0,113.48,0,0,49.65,0,0,0,0,0
 14-21,0,0,0,0,0.83,0,0,0,0,0,10.23,0,0,0,0,0.86,0,0,0
 24-34,0,0,0.7,0,0,0.8,0,0,0,1.25,3.77,0,0.61,0,0,0,8.85,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,4.37,0,0,0,0,0,0,0,0
 48-58,0,0,2.49,0.74,0,0,0,1.9,0,0,5.92,0.41,0,0,0,0,2.95,0,0
 60-70,0,0,5.71,0.97,0,0,0,0.91,0,0,3.83,0,0,0,0,0,7.34,0,0
 72-82,0,0,10.35,0,0,0,0,4.6,0,0,10.36,0.49,0,0,0,0,0,0,0.83
 84-94,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,1.37,0,0,0,0
 96-106,0,0,0,0,0,0,0,2.19,0.69,0,0,0,0,0,0,0,0,0.66,0
108-118,0,0,0,1.47,0,0,1.13,0,0,0,4.04,0,0,0,0,0,0,0,0
