stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,0,0,0,5.71,0,12.11,0,0,0,0,0
 14-21,0,0.96,2.66,0,0,0,0,0,0.82,0,0,1.86,0,0,0,0,0,6.95,0,0,0,0,16.39,0,6.03,0,0,0,0
 24-34,0,0.65,0,0,1.71,0,0,1.56,3.44,0,0,0.81,0,0.84,0,0,0,17.21,0.67,0,1.09,0,53.71,2.1,4.38,0,3.01,0,0
 36-46,0,0,0,0,13.33,0,0,0.85,0,0,0,0,0,0,0,0,0.6,9.41,0,0,0,0,47.48,0,2.99,0,0,0,0
 48-58,0,0,5.39,0,1.65,0,0,0,0,1.19,0,0,0,1.16,0,0,0.57,8.62,0,1.23,0.67,0,52.36,0,1.76,0,0.85,0,0
 60-70,0,0,3.21,0,3.68,1.01,0,0.57,0,0,0,0,3.47,0.86,0,0,0,8.45,0,1.56,0,0,28.24,0,1.9,0.81,2.44,0,0
 72-82,0,0,6.9,0,4.14,0.99,0,0.93,0,0,0,7.28,1.53,4.18,0,0,0,14.08,0,1.22,0,0,22.08,0,0.84,0,4.34,0,0
 84-94,0,0,3.34,0,10.14,0,0,1.98,2.79,0,0.79,0,0,0,0,0,0,33.17,0.63,0,0,0,46.55,0,0,3.07,2.16,0,0
 96-106,0,0,17.84,0,6.34,1.3,0,11.65,0.7,0,1.21,1.12,3.09,0,0,4.16,0,30,0,2.83,1.78,0,34.18,0.7,2.71,2.22,13.13,0,0
108-118,0,0,11.9,0,16.36,0.77,0.65,5.18,6.2,0,0.87,0.73,0.6,0,1.68,0,1.38,37.5,0,6.11,5.28,0,47.45,0,0,6.4,3.55,0,0.6
120,0,0,20.76,3.56,6.47,1.65,0,0,4.4,0,0,0,0,0,7.47,0,0,18.12,0,5.29,2.43,0,37.48,0,0,1.99,0,7.69,0
