stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0.85,1.07,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,11.79,1.25,0,0,0,1.01,0,0,0.85,4.56,0,0,0,0
 24-34,0,0,1.33,0.69,9.92,0,0,0,0,0,0,1.82,1.49,0.68,0,0,0,0,13.47,5.25,0,1.85,111.8,0.66,0,2.84,15.68,0,0.7,0.76,0.83,22.37,0,1.9,0,0.63
 36-46,0,0,1.41,0,9.68,1.34,2.18,1.03,2.6,0,0,0,0,0.91,2.31,0,0,0,4.17,0,0,0,103.08,0,0,0,4.14,0,5.98,0,0,10.84,0,1.8,0,0
 48-58,0,0,0.63,2.08,29.28,1.64,0,2.42,8.68,0,0,0.55,0,0,0,0,0,0,14.04,0,0.41,5.76,87.78,0,0,0,6.27,0,0,3.49,0,14.58,0,2.98,0,0
 60-70,0,0,8.87,0,39.79,0,0,4.74,22.06,0.85,0,2.87,2.38,1.08,0,2.01,0,1.24,8.53,0,1.52,0.6,110.52,0.65,1.82,1.03,4.19,0,3.17,5.49,0,14.77,0.73,0,0,0
 72-82,1.79,0,1.11,4.9,53.19,0,0,1.15,21.72,2.65,0,1.07,0,0.57,0,0,1.26,0,29.02,0.6,0.93,1.29,95.87,0,1.66,0.56,2.08,0,4.73,0,0,6.52,0,0.5,0.71,9.05
 84-94,0,0,4.41,0,34.62,0,0.57,0,5.27,2.49,0.76,0,0,9.66,0,0,0,0,36.15,0,0,3.92,60.16,0,0,0,7.61,0,0.91,0,0,4.21,0,0.85,0,1.05
 96-106,0,0,3.64,8.17,20.67,0,0,8.31,4.16,0,0,0.62,1.46,0,0,0,0,0,2.84,1.11,0,0,10.89,0.98,0,1.07,4.03,0,0,0,0,0,0,1.9,2.01,0
108-118,0,0,5.02,1.05,19.68,0,0.6,0,0.88,1.93,0,0,1.56,1.03,0,0,0,0,14.38,0,1.05,1.94,30.51,0,0,4.72,16.74,0,1.21,0,0,1.26,0,0,0,0
120,0,0,6.17,3.4,33.99,0,2.74,0,48.6,2.2,0,0,0,0,0,0,0,3.21,24.64,0,0,3.16,78.4,3.77,0,0,10.74,0,0,0,0,0,6,0,0,0
