stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle
  7-9,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0
 10-12,0,0,22.08,0,0,0,0,0,0,0,0,0,0,0,0,61.72,0,0,9.27,0,0,0,0
 14-21,0.88,0,0,0,0,0,0,0,0.98,0,0,0,0.96,0,0,8.57,2.46,0,0,0.92,0,0.82,0
 24-34,0.68,0,0,0,0.62,0,0,0,0,0,0,0,0.96,0,2.66,1.33,0,0,0,4.51,0,0,0
 36-46,2.01,0,0,0,2.33,0,0,0,0,0.63,0,0,8.1,0,0,2.44,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.49,0,0,0,0,0,0,8.42,0,0.75,1.74,0,0.46,0,0,0,0,0
 60-70,0,0,0,0,0,0,3.2,0,0,0,0,1.13,40.74,0,0,6.19,0,0.72,0,0,0,0,0
 72-82,0,0,7.34,0,0,0,2.73,0.53,0,0,0,0,104.01,1.43,2.1,7.24,1.22,4.1,0,0,0,0,0
 84-94,0,0.96,0,0,1.22,0,0,0,0,2.32,0,0,82.83,0,1.99,6.24,0,4.92,0,1.29,1.3,3.24,0
 96-106,0,1.02,0.6,1.98,0,3.65,0,0,0,0,0.62,0,73.26,0,1.19,11.39,0,1.53,0,0,0,0,0
108-118,0.77,5.63,8.85,0,0,0,0,0,0,0,0,0,81.56,0,2.78,2.12,0.66,0,0,0.44,0,0,0.84
120,0,0,6.13,0,0,0,0,0,0,0,0,0,74.79,0,3.36,12.27,0,0,0,0,0,0,0
