stage,endoderm,epidermis,eye,fin.epithelia,glial,gut,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,pronephros,spinal.cord,vasculature
 14-21,0,0.92,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0.93,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,15.04,0,0,0,0,0
 36-46,0,0,2.94,0,0,0,1.37,0,0,0,0,7.94,2.08,0.62,0,0,0
 48-58,0,0,0.95,0,2.18,0,0,0,0,0,0,4.84,4.51,0,0,0.94,0
 60-70,0,2.83,6.82,0,4.68,0,0,0,0,1.13,0,3.15,0.58,0,0,0,0
 72-82,0,0,4.23,0.51,8.32,0,0,0.63,0,0,0.5,6.29,3.76,0,0,0,0
 84-94,0,0,8.09,0,4.54,0,0,0,0.67,0,0,4.58,3.34,0,0.8,0,0
 96-106,0,0.6,0.56,0,3.19,1.1,0,2.32,0,0,0,1.3,5.27,0,0,0,0
108-118,0.74,2.63,2.98,0,6.03,1.1,0,0,0,0,0,24.14,2.3,0,0.42,3.9,0.45
120,0,3.94,1.96,0,18.47,0,0,4.64,0,0,0,22.25,1.11,0,0,0,0
