stage,axial,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,3.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,29.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0,0,0,42.5,0,0,0,0,0,0,0
 14-21,0,1.89,0,4.31,0,0,0,0,0,19.05,0,0,0,0,0,0,0,0,0,0,0.94,192.88,0,0,0,0,0,0,0,377.92,0,0,0,0,0
 24-34,0,1.3,0.6,0.76,0,4.43,0,0,0,9.73,0,1.72,0,0,0.85,0,0,1.93,0,0,0.81,2198.42,0.62,0,0,0,1.01,0,1.53,1119.25,0,0,0,0,0
 36-46,0,0,5.16,2.34,0,36.92,0.94,0.64,1.03,55.16,1.38,0,0,0,0,0,7.89,8.73,0,0,0,6515.51,0,0,0,0,2.87,0,0,1164.56,0,0,2.06,0,2.5
 48-58,0,0,10.35,2.5,0,181.54,0.67,2.93,0,234.87,0,0,0.94,13.44,0,0,5.53,22.26,0,0,6.08,6361.71,0,0,8.36,0,2.7,2.47,0,800.18,0,0,0,0,4.41
 60-70,0,0,0,4.32,0,132.81,0,9.41,0,90.25,0,0,4.27,0,0,0,0,69.25,0,0,0.59,5969.33,0,1.4,0,0,0,0,0,416.46,0,1.56,8.89,0,10.09
 72-82,0,0,22.18,10.38,0,326.03,1.84,0,3.96,61.64,0,2.04,2.01,0,0,0,0,84.37,0.78,1.81,7.68,5484.38,0.66,0,4.37,1.42,1.37,0.53,0,377.33,0,0,2.01,2.86,1.32
 84-94,0,0,21.43,15.28,0,285.22,2.68,0,0,70.69,0,4.68,0,1.26,1.82,0,0,24.17,0,0.85,3.24,3107.6,0,0,2.77,3.48,5.67,4.65,0,279.99,0.62,2.51,0.93,1.45,0
 96-106,0,0,18.88,15.3,2.87,236.83,2.84,0.74,0,55.1,2.05,2.48,0,1.78,0,7.69,0,72.66,0,5.41,5.15,2275.13,0,0,0,1.61,2.09,0,0,98.16,0,1.16,6.93,0.64,10.01
108-118,0,0,18.76,11.89,1.14,206.62,0.56,0,4.35,22.37,0,2.06,0,0,0,0,7.93,39.01,0,0.75,0.73,3101.84,0,0,1.62,2.1,1.12,0,0,114.01,0,0.45,2.25,0,0
120,0,0,74.13,16.41,0,387.29,0,0,0,96.88,1.26,0,0,0,0,0,0,47.46,0,0,2.67,3643.16,0,0,13.55,0,5.47,0,0,187.64,0,1.54,0,0,3.17
