stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.29,0,0,0,10.54,0,0,0,0,0,0,0,0,0
 10-12,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.92,3.72,0,0,28.52,0,0,4.5,0,0,0,0,0,0
 14-21,0,0,25.36,1.2,0,0,0,0,0,0,0,0,516.03,0,1.55,0,1.18,32.09,0,1.36,15.86,0,0,0,0,0,16.25,0.91,1.03,2.94,0,0,0,0
 24-34,0,0,26.99,0,1.52,0,1.88,0,0,0.76,0.92,0,782.95,0,0,0,0.63,60.23,0,0,19.79,0,0,0,0,0,7.12,6.79,0,1.47,0,0.78,0,0
 36-46,0,0,29.88,0,0,0,4.79,0.8,0.66,0,1.05,0,385.7,0,0,0,2.27,34.44,0,0,7.63,0,0,0,0,0,4.22,0,0,2.27,0,1.34,0,0
 48-58,0,0,33.51,0,10.73,0,4.52,0,1.69,0,0,0,200.36,0,0,4.43,3.11,23.4,0,1.21,30.17,0,0.71,0,0,0,1.44,0,0,1.87,0,0,0,0.99
 60-70,0,0,26.93,0,0.66,0,6.15,0,0,0,0,0,133.34,0,1.7,3.79,0,19.25,0,0,16.11,0,0,0,0,0,7.7,0,0,0.89,0,0,0,0
 72-82,0,0,26.99,0,12.23,0,3.5,0,1.27,0,0,0,333.16,0,0,0,0,9.74,0.79,0,11.72,0,2.11,0,0,0,0,0,0,0,0,0,4.01,0
 84-94,0,0,57.08,0,3.77,0,7.37,1.73,6.54,0,0,0,458.29,0,0.82,0,2.15,24.04,0,0,8.61,0,2.27,1.25,0,0,2.57,0,0,7.7,0,0.63,0,0
 96-106,0,0,77.34,0,14.64,0,2.76,1.34,1.91,0,1.53,0,543.46,0,8.68,0,7.36,17.45,0,0,20.08,0,4.95,0,0,1.6,3.19,0,0,0,0.66,0,0.91,0
108-118,0,0,82.52,2.53,0,0.42,1.81,1.13,0.49,0,0,1.17,515.76,0.79,4.84,0,14.76,18.62,0,0,12.85,0,2.53,1.61,0,0,6.14,0,0,0,2.69,0,0,0
120,0,0,54.67,2.75,0,0,0,0,8.65,0,0,0,383.48,0,5.65,1.1,2.3,7.06,0,0,30.35,6.22,2.3,0,0,0,0,0,0,0,0,0,0,0
