stage,blastomeres,eye,glial,immune,liver,mesenchyme,mucous,neural,paraxial.mesoderm,pronephros,xanthophores
  5-6,6.57,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.45,0,0
 14-21,0,0,0,0,0.92,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.39,0,2.63,0
 36-46,0,0,0,0,0,0,1.07,0,0,3.76,0
 48-58,0,0,0,0,0,0,0,1.38,0,18.08,0
 60-70,0,3.2,0,0,0,0,0,0,0,7.23,0
 72-82,0,0,0.72,0,0,0,0,0,0,14.01,0
 84-94,0,0,0,0,0,1.2,0,0,0,18.28,0
 96-106,0,0,0,0,0,0,0,0,0,16.08,0
108-118,0,0,0,0.72,0,1.8,0,0,0,10.87,0.88
120,0,0,0,1.47,0,0,0,0,0,18.5,0
