stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41,0,0,5.57,0,0,0,0,0,0,0,0,0
 14-21,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,13,0,0,0,0,2.05,0,13.36,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,1.75,126.8,0,2.6,0,0,0,1.81,38.15,0,0,0,0,0
 36-46,0,0,0,14.84,0,0,0,0.79,0,0,0,0,0,0,0,0,0,303.73,1.13,0.72,0,0,1.96,0,66.61,0,0,0,0,0
 48-58,0,0,0.69,65.41,0,0,7.07,7.1,0,0,0,0,0,0,3.2,2.33,0,440.24,0.73,1.39,0,0,0,5.13,72.87,0,0,1.33,0,0
 60-70,0,0,0,256.53,0,0,0,6.53,0.64,0,0,0,0.69,0,0,4.24,0,787.59,0.83,2.37,0,0,0,0,84.45,0,0,0,0,1.78
 72-82,0,3.97,0,247.28,0,0,0,24.58,1.49,0,0,0,0,2,0,12.71,0,656.5,1.71,2.54,0,0,0.56,0,68.04,0,0,3.77,0,7.17
 84-94,0,2.15,0,134.06,0,0,0,20.86,2.7,7.36,0,0,0,1.42,0,7.05,1.11,404.98,1.78,6.66,0,0,0.59,0,40.21,0.9,0,0,2.71,0
 96-106,0,6.52,0,211.2,0.93,0,0,22.83,0.79,1.5,0,3.46,0,1.56,0,7.51,0,300.34,0,8.74,0,0,2.31,0.6,25.47,0,0,0,2,1.22
108-118,0,1.61,1.55,215.6,0,0,0.65,25.86,5.19,1.35,0,2.85,0,3.24,0,20.54,4.34,394.03,1.85,7.48,0,4.59,0,0,7.09,1.95,1.46,0,0,0
120,0,0,0,181.38,0,1.11,0,36.25,0,0,1.65,0,0,1.23,0,30.85,0,454.15,17.75,0,0,0,0,2.88,41.2,0,0,0,1.45,0
