stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,ionocyte,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord
  3-4,469.65,6282,0,0,0,0,0,0,0,0,0,0,0,242.3,0,0,0,0,0,0
  5-6,1060.53,9948.24,0,0,0,0,78.99,0,0,388.37,13.98,0,78.42,252.65,0,0,0,0,0,0
  7-9,179.52,144.72,248.87,0,5.95,321.06,187.2,0,0,4453.51,189.13,0,1462.08,12.33,34.42,0,0,0,0,0
 10-12,0,20.09,95.93,0,0,121.47,15.99,0,0,1106.3,39.13,0,406.47,0,22.9,9.12,29.2,0,0,0
 14-21,0,0,0,12.31,0,0,0,0.96,4.96,38.09,2.57,0.84,0,0,0,8.18,2.26,1.16,5.37,9.66
 24-34,0,0,0,0,0,0,0,0,1.15,1.45,0,0,0,0,0,0,0,0,0,0.65
 36-46,0,0,0,0,0,0.67,0,0,0,0.75,0,0,0,9.22,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.07,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
