stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,119.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.55,87.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.59,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.47,0,0,0,0,0,0,0,0,0,0,0,0,0,114.33,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,22.65,0,0,0,0,9.28,0,0,0,0,0,0,0,0,44.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.83,2.21,0.89,0,0,0,0,0.82,0,0,0,0,0,0,12.13,0,7,45.84,0,6.15,0,0,0,2.36,1.89,40.16,0,0,1.98,0,0
 24-34,0,0,0,0,3.44,0,4.46,0,0,3.02,0,0,0.67,0,0,0,0,12.91,0,1.24,255.72,0,29.05,0,0,0,2.71,0.7,212.81,0,0,31.52,0,1.57
 36-46,0,0,0.95,0,2.03,0,12.32,0,1.36,2.32,0,0,1.48,0,0,0,0,33.13,0,10.87,282,0.61,28.37,0,4.12,1.37,4.15,0,204.54,0,0,10.83,0,0
 48-58,0,0,0,0,6.59,0,16.39,0,4.33,4.78,1.98,0,1.12,3.03,0,4.83,0,87.25,0,7.2,186.7,0,20.62,0,0,0,5.81,0,120.95,0,0,20.83,0,0.4
 60-70,0,0,0,0,2.27,0,30.59,0,2.48,3.22,0,0,3.06,0,0,0,1.44,166.84,0,6.24,148.91,0,27.35,0,0,4.2,0,0,68.22,0,0,14.11,0,0
 72-82,0,0,0,0.56,7.27,0,33.88,0.55,0,3.16,0,0,0,0,0,0,0,362.89,0,7.14,140.76,0,45.06,0.5,0,0,0.6,0,37.66,0,0,16.25,1.05,0
 84-94,0,0,0,0,1.22,0,29.42,0,3.37,1.92,0,0,1.01,0,0,0,0,232.98,0.78,4.18,75.63,0.98,21.62,5.33,0,2.54,0.71,0,39.58,0,0.9,5.82,0,0
 96-106,0,0,0,0,0.6,0,20.04,1.74,2.94,5.24,0.71,0,16.49,0,0,0,0,266.35,4.14,5.95,54.72,0,59.62,1.85,0,0,1.2,0,5.61,0,0.66,11.55,3.2,0
108-118,0,0,0,0.59,3.55,0.85,23.73,0,3.23,1.8,0,0,1.5,0.51,0.54,0,0,362.77,0,3.55,74.41,0,24.98,2.06,0,0,1.54,0,14.95,0.5,0,21.36,0,0
120,0,0,0,0,6.12,0,18.08,0,2.6,4.43,5.64,0,0,0,0,11.36,0,433,5.31,6.26,104.29,0,58.42,3.16,0,0,3.24,0,8.73,0,0,33.97,0,0
