stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,88.52,1129.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.55,0,0,0,0,0,0,0,0,0,0
  5-6,95.6,977.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.71,8.7,0,0,17.93,0,36.57,0,0,0,0,0,0,0,0,0,0
  7-9,7.34,8.27,0,4.03,0,0,0,22.41,0,0,0,0,31.46,0,0,0,0,0,0,0,0,0,0,0,147.97,14.32,0,0,64.84,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,21.24,0,0,0,19.58,0,0,0,0,41.47,0,0,0,0,0,0,0,0,0,0,0,119.86,3.14,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.9,15.82,0,0,0,0,0,1.26,3.95,8.41,0,0,2.52,0,0,0,0,0,0,0,4.09,39.22,0,0.98,0,0,0,9.22,0,3.61,0,1.78,51.84,0,0,0.98,0,0
 24-34,0,0,2.47,0.67,5.25,0.66,0,11.07,1.07,0,5.09,0,0,0,0,5.39,0,0,0,0,5.39,0.63,0,0.71,244.36,0,3.15,2.91,0,0,15.45,0,0,0.83,0,122.67,0,0,10.77,0,0.76
 36-46,0,0,0.85,0,5.76,0,0,25.63,0,0,2.67,0,0,0,0,0.61,0,0,4.05,0,1.91,0,0,1.49,599.33,0,17.23,10.46,0,0,29.15,0,0,2.03,0,120.32,0,0,18.06,0,0
 48-58,0,0,2.56,0,11.32,0,0,120.74,0.39,0,23.94,0.41,0.57,0,0.53,26.29,0,0.51,0,0,12.24,1.07,0,1.84,718.02,0,6.95,0.4,0,0,21.07,0,0,0,0,150.09,0,0,9.02,0,0.38
 60-70,0,0,1.79,0,3.46,0,0,338.12,5.62,1.03,28.28,8.13,2.38,0,0.66,0,0,0,0,0,23.72,3.61,0,0,955.85,0,7.32,0.62,0,0,10,0,0,0.58,0,143.7,0,0,4.39,0,11.89
 72-82,0,0,4.34,0,9.92,1.11,2.01,432.14,1.14,0,40.62,5.39,0,2.73,0,0.66,0,0,0,0,24.22,1.64,0,1.06,1165.75,0,23.26,3.8,0,1.53,7.7,0,0,0,0,134.41,0,0,14.85,1.64,6.1
 84-94,0,0,3.48,0,4.43,2.8,0,323.31,0,1.05,50.32,14.05,0,2.8,0.83,2.21,3.21,0,1.17,0,20.97,2.27,1.22,1.94,789.49,0,13.81,4.2,0,0,13.73,0,0,3.89,0,57.11,0,1.7,15.93,0,0.64
 96-106,0,0,6.26,0,22.92,15.63,5.49,389.44,0.96,0.64,48.1,19.78,0,1.16,0,1.52,0,3.28,17.27,0,19.21,16.77,10.02,3.9,607.16,0,6.05,6,0,0,16.2,1.35,0,2.62,0,63.85,0.79,0,22.01,0.65,0
108-118,0,0,10.36,0,25.73,6.2,43.98,314.45,2.91,0,21.13,27.98,0,2.29,0.59,0.84,0,0,0,1.01,16.34,14.09,0,3.76,882.06,0,13.72,10.36,0,0,8.26,0,0,0,0,42.96,1.63,1.16,7.98,4.17,3.31
120,0,0,2.14,0,28.35,2.17,16.93,287.71,0,2.45,58.24,33.53,0,0,0,3.26,0,1.54,0,0,15.19,8.55,0,2.57,1534.13,0,24.06,13.43,0,0,6.52,0,0,0,0,67.38,1.19,0,54.4,0,0
