stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.31,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,0,0,0,4.59,0,0,0,11.65,0,0,0,0,0,0,0,0
 14-21,0,0,1.03,10.31,5.26,0,7.12,0,0,0,1.33,0,0,0,0,0,0,0,1.36,4.04,0,0,4.69,98.54,0.9,0,1.02,0.95,0,1.67,3.58,0.85,0,7.35,21.91,0,0,0,0,0
 24-34,0,0,0,3.51,1.45,0,8.17,0,0,0,2.48,0,2.35,1.24,6.82,0,0.82,0,0,8.9,0,0,2.06,97.92,1.19,1.77,2.6,0,0,4.4,0,0,0,0,29.88,0,0,0.66,0,0
 36-46,0,0,0,20.27,0.6,0,25.24,5.36,3.64,0,15.95,0,3.49,2.69,11.76,1.49,0,6.28,0,10.42,0,0,3.31,161.87,0.55,0.56,0,0,0,21.98,0,0,0,0,36.25,0,0,0,0,1.41
 48-58,0,0.46,0,5.23,0,0,56.14,15.23,21.33,5.51,32.56,0,4.65,28.17,8.29,0,0.37,0,0.7,48.93,0,1.23,3.79,123.86,0.52,2.57,4.44,0,0.39,4.96,0,0,1.29,0,34.13,0,0,2.66,0,3.39
 60-70,0,0,0,7.67,0.58,0,43.7,15.57,8.88,0.98,17.13,0.68,0,25.37,3.07,0,1.02,0,0,48.84,0,5.8,15.5,61.26,6.73,0.62,5.39,0,0.96,6.7,0,0.83,0,0,12.95,0,1.33,0.89,5.78,7.78
 72-82,0,0,0,0,15.9,1.66,79.22,10.73,23.56,2.31,17.2,4.19,1.68,55.88,2.51,0,2.32,1.54,0,112.35,1.63,71.54,19.14,103.22,0,2.22,35.32,0,2.2,5.65,0,0,0,0,7.61,0,17.7,6.49,73.66,0
 84-94,0,0,0,8.18,4.72,1.24,51.36,2.2,12.5,1.21,14.04,10.26,3.28,98.82,8.46,1.68,0.82,1.17,5.31,70.64,0.57,13.15,3.4,50.39,1.77,0,14.02,0,0,35.83,0,2.01,0,0,20.82,1.01,3.68,1.59,94.95,0.74
 96-106,0,0,0,25.48,26.26,2.63,54.04,20.84,13.29,0.65,19.85,6.67,14.28,128.5,23.83,0,0,4.46,0,143.96,0.69,47.76,14.4,71.68,1.46,1.64,6.72,0,16.45,18.85,0,7.27,0,0,0,0.89,16.55,5.08,192.2,0
108-118,0,0,0,23.97,9.65,16.78,65.56,12.69,8.87,2.9,14.06,27.07,27.13,96.05,32.99,2.33,1.66,3.4,3.06,109.05,0,36.13,15.3,101.34,0.44,1.77,3.27,0,32.78,13.18,0,0.51,0.49,0,8.72,1.34,17.2,4.33,162.22,0
120,0,0,0,33.42,80.66,4.1,45.68,9,1.03,0,14.95,54.48,19.16,189.65,31.77,0,2.12,3.77,0,98.91,0,1.26,4.22,63.56,1.17,0,15.52,0,30.49,12.17,0,4.06,0,0,2.39,0,2.55,8.42,241.61,0
