stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,44.99,964.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.88,0,0,0,0,0,0,0,0,0,0
  5-6,18.99,337.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.24,0,0,0,5.07,0,0,5.11,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55,3.12,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.02,0,0,0,0,0,0,0,1.13,0,0,0,0,0,1.36,0,0,2.03,4.5,8.17,0,0,0.99,0,0,0,0.9,0,0.98,2.59,0,0,2.17,0,0
 24-34,0,0,0.81,0,1.78,0,0.6,0,0,2.78,0,0,0,0,0,0,0,0,5.37,0,0,0.67,25.88,2.01,3.28,1.35,0,0,0.7,0,9.67,0,0.61,19.74,0,0,5.53,0,0
 36-46,0,0,0,0,0.61,0,1.14,0,1.25,4.9,0,0.76,0,0,1.01,0,0,0,5.57,0,0,0.82,50.43,0,4.75,0,0,0,0,0,10.01,0,0,8.42,0,0,0.56,0,0
 48-58,0,0,0,0,0.48,0,8.71,0,1.07,9,0,0,0,0,0,0.51,0,0.78,22.63,0.49,0,1.72,25.11,2.41,6.84,1.06,0,0,0,0,5.88,0,0,12.55,0,0,0.87,0,0
 60-70,0,0,10.41,0,0,0,6.23,0.58,0,12.82,0.63,0,0,0,0,15.15,0,2.87,52.27,0,10.94,0.6,67.76,2.04,15.63,0,0,0,0,0,3.01,0,0,12.9,0,6.73,0,0,0.65
 72-82,0,0,3.31,0,3.41,21.27,15.8,0,2.32,15.33,10.34,0,0,1.58,0,32.95,0,1.51,87.49,0,11.18,2.69,69.33,0,15.95,0.99,0,0,0,0,4.18,1.81,0,4.11,0,15.57,4.13,1.78,3.25
 84-94,0,0,7.16,0,4.24,10.24,31.29,1.46,0,13.3,23.19,3.62,0,0,0,84.06,0.86,0.83,58.56,0,15.8,8.02,55.42,1.22,10.19,1.26,0,0,2.93,0,15.56,0,0,3.31,0.9,22.11,11.61,3.17,4.1
 96-106,0,0,2.46,0.72,7.96,28.74,28.47,0,0,21.39,12.54,0,3.96,0,0.81,83.37,3.52,2.84,49.51,0,12.14,0,74.64,0,33.33,2.87,0,4.07,5.39,0,9.13,0,0,0.94,0,15.89,3.52,6.38,11.74
108-118,0,0,7.29,0,22.29,13.41,39.3,0,10.02,28.16,11.47,0,1.48,0,2.04,175.53,0,6.09,77.25,0,29.35,3.44,95.34,0.59,16.93,0.83,0,8.21,2.04,0,7.36,0,0,9.54,0,11.43,5.7,6.06,4.54
120,0,0,2.94,0,48.18,23.63,32.03,0,0,42.73,22.74,0,1.85,0,0,86.41,0,0,80.34,0,61.68,3.01,101.66,0,8.73,0,0,28.21,1.68,0,19.56,0,0,0,0,25.62,10.63,2.57,9.3
