stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,vasculature,xanthophores
  3-4,23.54,320.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.25,393.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,0,0
  7-9,0,0,0,0,0,5.36,0,0,0,0,0,0,0,0,0,0,0,94.04,4.22,0,0,25.99,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,0,0,0
 14-21,0,0,0,0.85,1.61,1.68,0,0.84,0,0,0,0,0,0,0,0,0.87,98.03,0,0,0,0,0,0,0,28.61,0,0
 24-34,0,0,0.61,0.83,0,14.16,0,8.91,0,0,0,0,0.76,0,0.93,0,0.75,233.2,0,0.99,0,0,3.38,0,7.85,59.87,1.34,0
 36-46,0,0,0.95,0,0,9.05,0,9.07,0,0,0,0,0,0,1.6,0,0.78,92.81,0,0,0,0,4.62,0,1.76,39.3,0,2.61
 48-58,0,0,0.42,0,0,19.88,0,14.45,0,1.29,0,0,0,0.48,7.52,0,0,69.25,0,0.78,0,0,0,0,0,43.1,0.43,0
 60-70,0,0,0.7,0.88,0,40.06,0,32.72,4.35,0,7.02,0.79,0,0,7.46,0,2.09,26.08,0,0,0,0,0,0,0,9.95,0,0
 72-82,0,0,2.61,0,0,6.37,0,17.5,0,0,0,0,0,1.32,14.47,1.09,0.6,22.26,0,0,0,0,0,0,0.64,2.07,0,0
 84-94,0,0,1.26,0,0,10.1,0,19.06,0,0.97,0,0,0,0,32.19,0,0,6.98,0,0,0,0,0.64,0,0,3.58,0,0
 96-106,0,0,0,1.31,0,18.97,1.38,14.03,0,0.79,0.74,0,0,0,10.65,0,2.41,16.68,0,1.48,1,0,0,1.35,0,2.57,0,0
108-118,0,0,3.31,0.44,0,17.61,0,29.03,0,0,0,0,0,0,19.24,0,0.5,31.23,0,0,1.68,0,0,0,0,0,0,0
120,0,0,0,0,0,20.64,0,20.79,0,0,0,0,0,1.55,16.79,0,0,15.1,0,0,0,0,0,0,0,0,0,0
