stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,82.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,7.23,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3,0,0,0,9.34,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.56,0,0,0,5.2,0,0,0,0,7.22,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,3.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.79,0,0,0,0,0,0,0,0,0,76.88,0,0,0,0,0
 24-34,0,0,0,0,0,0,4.62,0,0,0,0,0,0.67,0,0,0,0,0,0,2.18,0,0,410.76,0,0,14.56,0,0,0,0,0,0,241.92,0,0,0,0,0
 36-46,0,0,0,0,0,0,24.11,0,0,0,6.24,0,0.57,0,0,0,6.69,0,0,4.44,0,1.91,1097.05,0,2.52,2.56,0,0,16.56,0,0,0,462.11,0,0,0,0,0
 48-58,0,0,0,5.46,0,0,557.01,0,0,8.02,20.89,0,0,0,0,3.23,2.07,0,0,27.78,0,0.51,2280.62,0,0,28.56,0,0,0.37,0,0,0,502.43,0,0,0,0,0
 60-70,0,0,0,3.32,4.76,0,4576.89,3.1,0,0,25.45,0,0,0,0,4.78,3.53,0,0,37.96,0,0,3373.13,0,2.4,34.42,0,0,2.88,0,0,0,613.89,0,0,8.19,0,4.38
 72-82,0,0.5,0,23,0,0,6990.48,0,0,5.55,113.56,0.7,0,2.56,0.73,0,10.18,0,0,135.11,0,0.84,3830.04,5.96,0,64,0,0,9.6,0.64,0.77,0,423.62,0,0.63,4.91,0.52,3.4
 84-94,0,0,0,51.06,0,11.01,4293.54,0,1.79,3.91,96.17,2.71,2.81,2.61,0.83,0.65,9.31,0,0,123.26,1.64,5.68,2731.34,0.65,2.44,77.28,0,0.57,12.21,0.73,0,0,347.03,0.9,1.15,6.78,3.43,7.62
 96-106,0,0,0,20.59,2.12,1.05,4760.43,1.64,1.92,0,110.83,1.66,2.48,3.72,0,3.38,16.99,1.81,0,170.3,8.32,0,2480.89,0,0.57,93.21,0,0.97,2.58,2.13,0,0,172.65,2.03,3.67,3.86,2.16,5.35
108-118,0,1.98,0.65,54.07,3.45,7.87,3794.42,1.21,0,0.73,108.19,4.21,0,0,2.36,4.74,9.22,2.74,13.89,117.99,0.5,5.24,2336.06,0.59,7.82,103.97,0,0,1.26,0,0,0,164.83,0,0,1.16,3.62,2.16
120,0,5.88,0,76.77,3.12,0,2767.57,2.29,14.64,0,200.11,0,1.85,10.29,0,8.73,25.18,19.69,0,142.78,0,2.35,4252.27,5.26,3.27,100.41,0,0,0,0,0,0,222.34,0,0,0,0,0
