stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.48,7.9,148.44,61.08,0,99.51,0,0,0,29.71,13.28,2.24,3.96,0,6.01,0,0,0,3.44,116.87,0,0,85.07,1415.96,31.08,1.51,23.95,37.81,0,9.13,3.88,289.13,17.16,0.96,209.49,427.44,0,0,7.82,0,0.84
 24-34,2.86,6.39,35.98,23.67,0,264.84,0,0,0.67,20.23,4.28,13.01,0,4.3,8.78,0.64,5.67,10.72,1.5,156.76,3.9,0,57.05,1721.49,12.57,12.06,9.26,0,0,50.73,0,0,2.54,3.42,33.55,314.71,0,0,20.76,0,2.21
 36-46,0,0.63,28.03,1.13,0,283.47,4.69,0.89,3.76,44.17,0.61,0,0,27.96,0,0,1.31,10.27,0,118.97,0,3.53,21.52,948.33,2.9,10.6,8.72,0,0,17.09,0,1.78,0.98,2.58,0.74,188.25,0,0,12.49,0,3.82
 48-58,0,0,10.52,1.21,0,359.66,5.63,0.41,3.84,63.73,0.56,0,0,10.87,0.55,6.99,1.57,0.37,1.13,111.49,0.59,4.03,24.41,535.79,7.29,5.12,6.19,0,0.39,10.33,0,0,6.32,0,0,80.34,0,0,6.84,0,19.71
 60-70,0,0,22.17,0.57,0,321.28,0,0,4.03,75.07,4.44,0,2.51,12.76,0,3.57,3.24,0,0,84.19,0,3.35,30.69,524.21,0,5.27,2.13,0,1.1,4.52,0,0,1.54,0,0,52.62,0,0.57,6.19,0,12.16
 72-82,0,0,4.4,2.27,0,167.32,2.11,0,9.07,82.52,10.2,0,2.95,13.93,0,7.14,1.6,1.4,6.69,84.85,0,2.03,20.99,274.21,1.14,5.06,4.92,0,1.59,0,0,0,0,0,0,39.97,0,1.65,9.22,1.32,0
 84-94,1.15,0,26.98,2.64,0,138.56,0.75,0.68,2.42,71.77,6.86,0,1.12,6.26,4.18,2.86,0,5.61,0,89.4,0,1.06,16.44,196.11,0,4.29,3.28,0,0.57,4.92,0,0,2.43,0,0,13.33,0,1.74,5.36,0.88,0
 96-106,1.89,0,13.19,7.19,1.05,85,0,0,1.45,79.35,3.4,0,3.03,8.39,1.36,3.88,0.62,12.17,0,53.92,0,4.22,12.88,151.49,0,8.73,2.01,0,4.28,8.84,0,0,0,0,0,3.2,1.44,0.79,2.31,0.59,8.78
108-118,2.91,0,15.69,5.5,0.44,124.07,0,1.57,3.09,57.21,1.86,0,1.02,4.83,3.38,4.05,5.54,6.38,2,77.97,0,1.91,16.25,299.53,3.73,6.73,2.71,0,2.37,15.54,0,0,0,0.42,0,5.67,0.6,0,11.11,0.97,0.93
120,1.22,0,11.8,0,0,69.31,0,0,1.67,49.91,3.25,0,0,8.04,1.36,0,3.39,1.4,7.72,51.04,1.05,1.45,30.93,219.34,6.19,1.61,10.06,0,0,3.89,0,0,0,0,0,1.7,0,0,10.53,0,0
