stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,19.45,17.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.06,0,0,0,0,0,0,0,0,0,8.5,0,5.09,0,0,0,0,0
 10-12,0,0,4.69,0,0,0,0,0,0,0,19.65,0,0,14.75,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0.86,0,0,0
 24-34,0,0,0,0,0,0.72,0,0,0,0.9,8.98,0,0,0,0,1.81,0,0
 36-46,0,0,0,0,0,4.25,0,0,0,0,6.25,1.01,0,0,0,4.69,0,0
 48-58,0,0,0,4.15,0,5.88,1.12,0,1.91,0.8,11.07,0,0,0,0,2.79,0,0.58
 60-70,0,0,0,1.53,0,9.09,0.94,0,2.82,0,5.57,0,0,0,0,0.96,0,0
 72-82,0,0,0,0,0,3.19,1.92,0.72,1.78,0,11.48,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.41,0.78,0,0,0,0,11.22,3.82,0,0,0,2.03,0.83,0
 96-106,0,0,0,0,0,0,1.77,0,2.66,0.76,1.18,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.91,0,0,1.58,6.31,0,0,0,0,0,0,1.42
120,0,0,0,0,0,0,0,0,3.62,0,2,0,0,0,0,0,0,0
