stage,blastomeres,hatching_gland,immune,neural,paraxial_mesoderm,periderm
  3-4,46.8,0,0,0,0,0
  5-6,28.72,0,0,0,0,11.47
  7-9,6.26,7.56,0,24.03,16.5,0
 10-12,0,0,0,23.53,0,0
108-118,0,0,0.74,0,0,0
